,Zimbabwe,source,target,value
42,Afghanistan,Malignant neoplasms,Mouth and oropharynx cancers,0.8
43,Afghanistan,Malignant neoplasms,Oesophagus cancer,0.8
44,Afghanistan,Malignant neoplasms,Stomach cancer,0.9
45,Afghanistan,Malignant neoplasms,Colon and rectum cancers,0.3
46,Afghanistan,Malignant neoplasms,Liver cancer,0.4
47,Afghanistan,Malignant neoplasms,Pancreas cancer,0.1
48,Afghanistan,Malignant neoplasms,"Trachea, bronchus, lung cancers",0.5
49,Afghanistan,Malignant neoplasms,Melanoma and other skin cancers,0.1
50,Afghanistan,Malignant neoplasms,Breast cancer,0.9
51,Afghanistan,Malignant neoplasms,Cervix uteri cancer,0.4
52,Afghanistan,Malignant neoplasms,Corpus uteri cancer,0.1
53,Afghanistan,Malignant neoplasms,Ovary cancer,0.1
54,Afghanistan,Malignant neoplasms,Prostate cancer,0.1
55,Afghanistan,Malignant neoplasms,Testicular cancer,0.0
56,Afghanistan,Malignant neoplasms,Kidney cancer,0.1
57,Afghanistan,Malignant neoplasms,Bladder cancer,0.1
58,Afghanistan,Malignant neoplasms,Brain and nervous system cancers,0.5
59,Afghanistan,Malignant neoplasms,Gallbladder and biliary tract cancer,0.1
60,Afghanistan,Malignant neoplasms,Larynx cancer,0.1
61,Afghanistan,Malignant neoplasms,Thyroid cancer,0.0
62,Afghanistan,Malignant neoplasms,Mesothelioma,0.0
63,Afghanistan,Malignant neoplasms,"Lymphomas, multiple myeloma",0.5
64,Afghanistan,Malignant neoplasms,Leukaemia,0.4
65,Afghanistan,Malignant neoplasms,Other malignant neoplasms,1.0
66,Afghanistan,Noncommunicable diseases,Other neoplasms,0.0
68,Afghanistan,Noncommunicable diseases,Diabetes mellitus,2.1
70,Afghanistan,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.8
72,Afghanistan,"Endocrine, blood, immune disorders",Thalassaemias,0.2
73,Afghanistan,"Endocrine, blood, immune disorders",Sickle cell disorders and trait,0.2
74,Afghanistan,"Endocrine, blood, immune disorders",Other haemoglobinopathies and haemolytic anaemias,0.1
75,Afghanistan,"Endocrine, blood, immune disorders","Other endocrine, blood and immune disorders",0.4
76,Afghanistan,Noncommunicable diseases,Mental and substance use disorders,0.2
78,Afghanistan,Mental and substance use disorders,Depressive disorders,0.0
79,Afghanistan,Mental and substance use disorders,Bipolar disorder,0.0
80,Afghanistan,Mental and substance use disorders,Schizophrenia,0.0
81,Afghanistan,Mental and substance use disorders,Alcohol use disorders,0.1
82,Afghanistan,Mental and substance use disorders,Drug use disorders,0.1
83,Afghanistan,Mental and substance use disorders,Anxiety disorders,0.0
84,Afghanistan,Mental and substance use disorders,Eating disorders,0.0
85,Afghanistan,Mental and substance use disorders,Autism and Asperger syndrome,0.0
86,Afghanistan,Mental and substance use disorders,Childhood behavioural disorders,0.0
87,Afghanistan,Mental and substance use disorders,Idiopathic intellectual disability,0.0
88,Afghanistan,Mental and substance use disorders,Other mental and behavioural disorders,0.0
89,Afghanistan,Noncommunicable diseases,Neurological conditions,2.1
91,Afghanistan,Neurological conditions,Alzheimer disease and other dementias,0.8
92,Afghanistan,Neurological conditions,Parkinson disease,0.3
93,Afghanistan,Neurological conditions,Epilepsy,0.9
94,Afghanistan,Neurological conditions,Multiple sclerosis,0.0
95,Afghanistan,Neurological conditions,Migraine,0.0
96,Afghanistan,Neurological conditions,Non-migraine headache,0.0
97,Afghanistan,Neurological conditions,Other neurological conditions,0.1
98,Afghanistan,Noncommunicable diseases,Sense organ diseases,0.0
100,Afghanistan,Noncommunicable diseases,Cardiovascular diseases,44.7
102,Afghanistan,Cardiovascular diseases,Rheumatic heart disease,0.9
103,Afghanistan,Cardiovascular diseases,Hypertensive heart disease,4.4
104,Afghanistan,Cardiovascular diseases,Ischaemic heart disease,25.6
105,Afghanistan,Cardiovascular diseases,Stroke,12.2
106,Afghanistan,Cardiovascular diseases,"Cardiomyopathy, myocarditis, endocarditis",0.3
107,Afghanistan,Cardiovascular diseases,Other circulatory diseases,1.3
108,Afghanistan,Noncommunicable diseases,Respiratory diseases,6.1
110,Afghanistan,Respiratory diseases,Chronic obstructive pulmonary disease,2.9
111,Afghanistan,Respiratory diseases,Asthma,3.1
112,Afghanistan,Respiratory diseases,Other respiratory diseases,0.1
113,Afghanistan,Noncommunicable diseases,Digestive diseases,5.5
115,Afghanistan,Digestive diseases,Peptic ulcer disease,1.3
116,Afghanistan,Digestive diseases,Cirrhosis of the liver,3.0
117,Afghanistan,Digestive diseases,Appendicitis,0.3
118,Afghanistan,Digestive diseases,Gastritis and duodenitis,0.0
119,Afghanistan,Digestive diseases,Paralytic ileus and intestinal obstruction,0.4
120,Afghanistan,Digestive diseases,Inflammatory bowel disease,0.0
121,Afghanistan,Digestive diseases,Gallbladder and biliary diseases,0.2
122,Afghanistan,Digestive diseases,Pancreatitis,0.1
123,Afghanistan,Digestive diseases,Other digestive diseases,0.2
124,Afghanistan,Noncommunicable diseases,Genitourinary diseases,3.6
126,Afghanistan,Genitourinary diseases,Kidney diseases,3.5
127,Afghanistan,Genitourinary diseases,Benign prostatic hyperplasia,0.0
128,Afghanistan,Genitourinary diseases,Urolithiasis,0.0
129,Afghanistan,Genitourinary diseases,Other urinary diseases,0.1
130,Afghanistan,Genitourinary diseases,Infertility,0.0
131,Afghanistan,Genitourinary diseases,Gynecological diseases,0.0
132,Afghanistan,Noncommunicable diseases,Skin diseases,0.0
134,Afghanistan,Noncommunicable diseases,Musculoskeletal diseases,0.1
136,Afghanistan,Musculoskeletal diseases,Rheumatoid arthritis,0.0
137,Afghanistan,Musculoskeletal diseases,Osteoarthritis,0.0
138,Afghanistan,Musculoskeletal diseases,Gout,0.0
139,Afghanistan,Musculoskeletal diseases,Back and neck pain,0.0
140,Afghanistan,Musculoskeletal diseases,Other musculoskeletal disorders,0.1
141,Afghanistan,Noncommunicable diseases,Congenital anomalies,5.0
143,Afghanistan,Congenital anomalies,Neural tube defects,1.3
144,Afghanistan,Congenital anomalies,Cleft lip and cleft palate,0.0
145,Afghanistan,Congenital anomalies,Down syndrome,0.1
146,Afghanistan,Congenital anomalies,Congenital heart anomalies,1.5
147,Afghanistan,Congenital anomalies,Other chromosomal anomalies,0.1
148,Afghanistan,Congenital anomalies,Other congenital anomalies,2.1
149,Afghanistan,Noncommunicable diseases,Oral conditions,0.0
151,Albania,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.6
152,Albania,All Causes,Noncommunicable diseases,16.5
153,Albania,All Causes,Injuries,1.5
156,Albania,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
158,Albania,Infectious and parasitic diseases,Tuberculosis,0.0
159,Albania,Infectious and parasitic diseases,STDs excluding HIV,0.0
160,Albania,Infectious and parasitic diseases,HIV/AIDS,0.0
161,Albania,Infectious and parasitic diseases,Diarrhoeal diseases,0.1
162,Albania,Infectious and parasitic diseases,Childhood-cluster diseases,0.0
163,Albania,Infectious and parasitic diseases,Meningitis,0.1
164,Albania,Infectious and parasitic diseases,Encephalitis,0.0
165,Albania,Infectious and parasitic diseases,Hepatitis,0.0
166,Albania,Infectious and parasitic diseases,Parasitic and vector diseases,0.0
167,Albania,Infectious and parasitic diseases,Intestinal nematode infections,0.0
168,Albania,Infectious and parasitic diseases,Leprosy,0.0
169,Albania,Infectious and parasitic diseases,Other infectious diseases,0.0
170,Albania,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.8
172,Albania,Respiratory Infectious ,Lower respiratory infections,0.8
173,Albania,Respiratory Infectious ,Upper respiratory infections,0.0
174,Albania,Respiratory Infectious ,Otitis media,0.0
175,Albania,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
177,Albania,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.5
179,Albania,Neonatal conditions,Preterm birth complications,0.3
180,Albania,Neonatal conditions,Birth asphyxia and birth trauma,0.1
181,Albania,Neonatal conditions,Neonatal sepsis and infections,0.0
182,Albania,Neonatal conditions,Other neonatal conditions,0.1
183,Albania,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
185,Albania,Nutritional deficiencies,Protein-energy malnutrition,0.0
186,Albania,Nutritional deficiencies,Iodine deficiency,0.0
187,Albania,Nutritional deficiencies,Vitamin A deficiency,0.0
188,Albania,Nutritional deficiencies,Iron-deficiency anaemia,0.0
189,Albania,Nutritional deficiencies,Other nutritional deficiencies,0.0
191,Albania,Noncommunicable diseases,Malignant neoplasms,4.0
193,Albania,Malignant neoplasms,Mouth and oropharynx cancers,0.1
194,Albania,Malignant neoplasms,Oesophagus cancer,0.0
195,Albania,Malignant neoplasms,Stomach cancer,0.5
196,Albania,Malignant neoplasms,Colon and rectum cancers,0.1
197,Albania,Malignant neoplasms,Liver cancer,0.6
198,Albania,Malignant neoplasms,Pancreas cancer,0.1
199,Albania,Malignant neoplasms,"Trachea, bronchus, lung cancers",0.8
200,Albania,Malignant neoplasms,Melanoma and other skin cancers,0.0
201,Albania,Malignant neoplasms,Breast cancer,0.2
202,Albania,Malignant neoplasms,Cervix uteri cancer,0.1
203,Albania,Malignant neoplasms,Corpus uteri cancer,0.0
204,Albania,Malignant neoplasms,Ovary cancer,0.0
205,Albania,Malignant neoplasms,Prostate cancer,0.2
206,Albania,Malignant neoplasms,Testicular cancer,0.0
207,Albania,Malignant neoplasms,Kidney cancer,0.1
208,Albania,Malignant neoplasms,Bladder cancer,0.2
209,Albania,Malignant neoplasms,Brain and nervous system cancers,0.2
210,Albania,Malignant neoplasms,Gallbladder and biliary tract cancer,0.0
211,Albania,Malignant neoplasms,Larynx cancer,0.1
212,Albania,Malignant neoplasms,Thyroid cancer,0.0
213,Albania,Malignant neoplasms,Mesothelioma,0.0
214,Albania,Malignant neoplasms,"Lymphomas, multiple myeloma",0.1
215,Albania,Malignant neoplasms,Leukaemia,0.1
216,Albania,Malignant neoplasms,Other malignant neoplasms,0.3
217,Albania,Noncommunicable diseases,Other neoplasms,0.0
219,Albania,Noncommunicable diseases,Diabetes mellitus,0.2
221,Albania,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
223,Albania,"Endocrine, blood, immune disorders",Thalassaemias,0.0
224,Albania,"Endocrine, blood, immune disorders",Sickle cell disorders and trait,0.0
225,Albania,"Endocrine, blood, immune disorders",Other haemoglobinopathies and haemolytic anaemias,0.0
226,Albania,"Endocrine, blood, immune disorders","Other endocrine, blood and immune disorders",0.1
227,Albania,Noncommunicable diseases,Mental and substance use disorders,0.0
229,Albania,Mental and substance use disorders,Depressive disorders,0.0
230,Albania,Mental and substance use disorders,Bipolar disorder,0.0
231,Albania,Mental and substance use disorders,Schizophrenia,0.0
232,Albania,Mental and substance use disorders,Alcohol use disorders,0.0
233,Albania,Mental and substance use disorders,Drug use disorders,0.0
234,Albania,Mental and substance use disorders,Anxiety disorders,0.0
235,Albania,Mental and substance use disorders,Eating disorders,0.0
236,Albania,Mental and substance use disorders,Autism and Asperger syndrome,0.0
237,Albania,Mental and substance use disorders,Childhood behavioural disorders,0.0
238,Albania,Mental and substance use disorders,Idiopathic intellectual disability,0.0
239,Albania,Mental and substance use disorders,Other mental and behavioural disorders,0.0
240,Albania,Noncommunicable diseases,Neurological conditions,0.9
242,Albania,Neurological conditions,Alzheimer disease and other dementias,0.6
243,Albania,Neurological conditions,Parkinson disease,0.1
244,Albania,Neurological conditions,Epilepsy,0.1
245,Albania,Neurological conditions,Multiple sclerosis,0.0
246,Albania,Neurological conditions,Migraine,0.0
247,Albania,Neurological conditions,Non-migraine headache,0.0
248,Albania,Neurological conditions,Other neurological conditions,0.1
249,Albania,Noncommunicable diseases,Sense organ diseases,0.0
251,Albania,Noncommunicable diseases,Cardiovascular diseases,9.3
253,Albania,Cardiovascular diseases,Rheumatic heart disease,0.1
254,Albania,Cardiovascular diseases,Hypertensive heart disease,0.2
255,Albania,Cardiovascular diseases,Ischaemic heart disease,4.0
256,Albania,Cardiovascular diseases,Stroke,4.4
257,Albania,Cardiovascular diseases,"Cardiomyopathy, myocarditis, endocarditis",0.3
258,Albania,Cardiovascular diseases,Other circulatory diseases,0.4
259,Albania,Noncommunicable diseases,Respiratory diseases,0.9
261,Albania,Respiratory diseases,Chronic obstructive pulmonary disease,0.6
262,Albania,Respiratory diseases,Asthma,0.2
263,Albania,Respiratory diseases,Other respiratory diseases,0.1
264,Albania,Noncommunicable diseases,Digestive diseases,0.5
266,Albania,Digestive diseases,Peptic ulcer disease,0.0
267,Albania,Digestive diseases,Cirrhosis of the liver,0.3
268,Albania,Digestive diseases,Appendicitis,0.0
269,Albania,Digestive diseases,Gastritis and duodenitis,0.0
270,Albania,Digestive diseases,Paralytic ileus and intestinal obstruction,0.0
271,Albania,Digestive diseases,Inflammatory bowel disease,0.0
272,Albania,Digestive diseases,Gallbladder and biliary diseases,0.0
273,Albania,Digestive diseases,Pancreatitis,0.0
274,Albania,Digestive diseases,Other digestive diseases,0.1
275,Albania,Noncommunicable diseases,Genitourinary diseases,0.3
277,Albania,Genitourinary diseases,Kidney diseases,0.3
278,Albania,Genitourinary diseases,Benign prostatic hyperplasia,0.0
279,Albania,Genitourinary diseases,Urolithiasis,0.0
280,Albania,Genitourinary diseases,Other urinary diseases,0.0
281,Albania,Genitourinary diseases,Infertility,0.0
282,Albania,Genitourinary diseases,Gynecological diseases,0.0
283,Albania,Noncommunicable diseases,Skin diseases,0.0
285,Albania,Noncommunicable diseases,Musculoskeletal diseases,0.0
287,Albania,Musculoskeletal diseases,Rheumatoid arthritis,0.0
288,Albania,Musculoskeletal diseases,Osteoarthritis,0.0
289,Albania,Musculoskeletal diseases,Gout,0.0
290,Albania,Musculoskeletal diseases,Back and neck pain,0.0
291,Albania,Musculoskeletal diseases,Other musculoskeletal disorders,0.0
292,Albania,Noncommunicable diseases,Congenital anomalies,0.3
294,Albania,Congenital anomalies,Neural tube defects,0.0
295,Albania,Congenital anomalies,Cleft lip and cleft palate,0.0
296,Albania,Congenital anomalies,Down syndrome,0.0
297,Albania,Congenital anomalies,Congenital heart anomalies,0.2
298,Albania,Congenital anomalies,Other chromosomal anomalies,0.0
299,Albania,Congenital anomalies,Other congenital anomalies,0.1
300,Albania,Noncommunicable diseases,Oral conditions,0.0
302,Algeria,All Causes,"Communicable, maternal, perinatal and nutritional conditions",26.9
303,Algeria,All Causes,Noncommunicable diseases,94.8
304,Algeria,All Causes,Injuries,17.1
307,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,8.1
309,Algeria,Infectious and parasitic diseases,Tuberculosis,2.5
310,Algeria,Infectious and parasitic diseases,STDs excluding HIV,0.1
311,Algeria,Infectious and parasitic diseases,HIV/AIDS,0.0
312,Algeria,Infectious and parasitic diseases,Diarrhoeal diseases,2.3
313,Algeria,Infectious and parasitic diseases,Childhood-cluster diseases,1.6
314,Algeria,Infectious and parasitic diseases,Meningitis,0.6
315,Algeria,Infectious and parasitic diseases,Encephalitis,0.1
316,Algeria,Infectious and parasitic diseases,Hepatitis,0.3
317,Algeria,Infectious and parasitic diseases,Parasitic and vector diseases,0.2
318,Algeria,Infectious and parasitic diseases,Intestinal nematode infections,0.0
319,Algeria,Infectious and parasitic diseases,Leprosy,0.0
320,Algeria,Infectious and parasitic diseases,Other infectious diseases,0.2
321,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,6.9
323,Algeria,Respiratory Infectious ,Lower respiratory infections,6.9
324,Algeria,Respiratory Infectious ,Upper respiratory infections,0.0
325,Algeria,Respiratory Infectious ,Otitis media,0.0
326,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.8
328,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,10.9
330,Algeria,Neonatal conditions,Preterm birth complications,5.6
331,Algeria,Neonatal conditions,Birth asphyxia and birth trauma,2.9
332,Algeria,Neonatal conditions,Neonatal sepsis and infections,1.5
333,Algeria,Neonatal conditions,Other neonatal conditions,0.8
334,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
336,Algeria,Nutritional deficiencies,Protein-energy malnutrition,0.2
337,Algeria,Nutritional deficiencies,Iodine deficiency,0.0
338,Algeria,Nutritional deficiencies,Vitamin A deficiency,0.0
339,Algeria,Nutritional deficiencies,Iron-deficiency anaemia,0.0
340,Algeria,Nutritional deficiencies,Other nutritional deficiencies,0.0
342,Algeria,Noncommunicable diseases,Malignant neoplasms,15.4
344,Algeria,Malignant neoplasms,Mouth and oropharynx cancers,0.4
345,Algeria,Malignant neoplasms,Oesophagus cancer,0.2
346,Algeria,Malignant neoplasms,Stomach cancer,1.3
347,Algeria,Malignant neoplasms,Colon and rectum cancers,1.4
348,Algeria,Malignant neoplasms,Liver cancer,0.3
349,Algeria,Malignant neoplasms,Pancreas cancer,0.3
350,Algeria,Malignant neoplasms,"Trachea, bronchus, lung cancers",1.9
351,Algeria,Malignant neoplasms,Melanoma and other skin cancers,0.3
352,Algeria,Malignant neoplasms,Breast cancer,1.7
353,Algeria,Malignant neoplasms,Cervix uteri cancer,0.7
354,Algeria,Malignant neoplasms,Corpus uteri cancer,0.0
355,Algeria,Malignant neoplasms,Ovary cancer,0.2
356,Algeria,Malignant neoplasms,Prostate cancer,0.5
357,Algeria,Malignant neoplasms,Testicular cancer,0.0
358,Algeria,Malignant neoplasms,Kidney cancer,0.2
359,Algeria,Malignant neoplasms,Bladder cancer,0.6
360,Algeria,Malignant neoplasms,Brain and nervous system cancers,0.7
361,Algeria,Malignant neoplasms,Gallbladder and biliary tract cancer,0.4
362,Algeria,Malignant neoplasms,Larynx cancer,0.5
363,Algeria,Malignant neoplasms,Thyroid cancer,0.1
364,Algeria,Malignant neoplasms,Mesothelioma,0.0
365,Algeria,Malignant neoplasms,"Lymphomas, multiple myeloma",0.9
366,Algeria,Malignant neoplasms,Leukaemia,0.8
367,Algeria,Malignant neoplasms,Other malignant neoplasms,2.0
368,Algeria,Noncommunicable diseases,Other neoplasms,0.0
370,Algeria,Noncommunicable diseases,Diabetes mellitus,1.7
372,Algeria,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.6
374,Algeria,"Endocrine, blood, immune disorders",Thalassaemias,0.1
375,Algeria,"Endocrine, blood, immune disorders",Sickle cell disorders and trait,0.1
376,Algeria,"Endocrine, blood, immune disorders",Other haemoglobinopathies and haemolytic anaemias,0.1
377,Algeria,"Endocrine, blood, immune disorders","Other endocrine, blood and immune disorders",0.4
378,Algeria,Noncommunicable diseases,Mental and substance use disorders,0.6
380,Algeria,Mental and substance use disorders,Depressive disorders,0.0
381,Algeria,Mental and substance use disorders,Bipolar disorder,0.0
382,Algeria,Mental and substance use disorders,Schizophrenia,0.0
383,Algeria,Mental and substance use disorders,Alcohol use disorders,0.1
384,Algeria,Mental and substance use disorders,Drug use disorders,0.5
385,Algeria,Mental and substance use disorders,Anxiety disorders,0.0
386,Algeria,Mental and substance use disorders,Eating disorders,0.0
387,Algeria,Mental and substance use disorders,Autism and Asperger syndrome,0.0
388,Algeria,Mental and substance use disorders,Childhood behavioural disorders,0.0
389,Algeria,Mental and substance use disorders,Idiopathic intellectual disability,0.0
390,Algeria,Mental and substance use disorders,Other mental and behavioural disorders,0.0
391,Algeria,Noncommunicable diseases,Neurological conditions,3.3
393,Algeria,Neurological conditions,Alzheimer disease and other dementias,2.2
394,Algeria,Neurological conditions,Parkinson disease,0.5
395,Algeria,Neurological conditions,Epilepsy,0.4
396,Algeria,Neurological conditions,Multiple sclerosis,0.0
397,Algeria,Neurological conditions,Migraine,0.0
398,Algeria,Neurological conditions,Non-migraine headache,0.0
399,Algeria,Neurological conditions,Other neurological conditions,0.1
400,Algeria,Noncommunicable diseases,Sense organ diseases,0.0
402,Algeria,Noncommunicable diseases,Cardiovascular diseases,57.0
404,Algeria,Cardiovascular diseases,Rheumatic heart disease,0.4
405,Algeria,Cardiovascular diseases,Hypertensive heart disease,4.8
406,Algeria,Cardiovascular diseases,Ischaemic heart disease,33.8
407,Algeria,Cardiovascular diseases,Stroke,15.2
408,Algeria,Cardiovascular diseases,"Cardiomyopathy, myocarditis, endocarditis",0.6
409,Algeria,Cardiovascular diseases,Other circulatory diseases,2.2
410,Algeria,Noncommunicable diseases,Respiratory diseases,4.5
412,Algeria,Respiratory diseases,Chronic obstructive pulmonary disease,2.5
413,Algeria,Respiratory diseases,Asthma,1.9
414,Algeria,Respiratory diseases,Other respiratory diseases,0.1
415,Algeria,Noncommunicable diseases,Digestive diseases,3.9
417,Algeria,Digestive diseases,Peptic ulcer disease,0.6
418,Algeria,Digestive diseases,Cirrhosis of the liver,2.4
419,Algeria,Digestive diseases,Appendicitis,0.1
420,Algeria,Digestive diseases,Gastritis and duodenitis,0.0
421,Algeria,Digestive diseases,Paralytic ileus and intestinal obstruction,0.3
422,Algeria,Digestive diseases,Inflammatory bowel disease,0.0
423,Algeria,Digestive diseases,Gallbladder and biliary diseases,0.2
424,Algeria,Digestive diseases,Pancreatitis,0.1
425,Algeria,Digestive diseases,Other digestive diseases,0.2
426,Algeria,Noncommunicable diseases,Genitourinary diseases,3.7
428,Algeria,Genitourinary diseases,Kidney diseases,3.6
429,Algeria,Genitourinary diseases,Benign prostatic hyperplasia,0.0
430,Algeria,Genitourinary diseases,Urolithiasis,0.0
431,Algeria,Genitourinary diseases,Other urinary diseases,0.1
432,Algeria,Genitourinary diseases,Infertility,0.0
433,Algeria,Genitourinary diseases,Gynecological diseases,0.0
434,Algeria,Noncommunicable diseases,Skin diseases,0.0
436,Algeria,Noncommunicable diseases,Musculoskeletal diseases,0.1
438,Algeria,Musculoskeletal diseases,Rheumatoid arthritis,0.0
439,Algeria,Musculoskeletal diseases,Osteoarthritis,0.0
440,Algeria,Musculoskeletal diseases,Gout,0.0
441,Algeria,Musculoskeletal diseases,Back and neck pain,0.0
442,Algeria,Musculoskeletal diseases,Other musculoskeletal disorders,0.1
443,Algeria,Noncommunicable diseases,Congenital anomalies,3.4
445,Algeria,Congenital anomalies,Neural tube defects,0.3
446,Algeria,Congenital anomalies,Cleft lip and cleft palate,0.0
447,Algeria,Congenital anomalies,Down syndrome,0.2
448,Algeria,Congenital anomalies,Congenital heart anomalies,1.3
449,Algeria,Congenital anomalies,Other chromosomal anomalies,0.1
450,Algeria,Congenital anomalies,Other congenital anomalies,1.5
451,Algeria,Noncommunicable diseases,Oral conditions,0.0
453,Angola,All Causes,"Communicable, maternal, perinatal and nutritional conditions",192.7
454,Angola,All Causes,Noncommunicable diseases,53.5
455,Angola,All Causes,Injuries,18.4
458,Angola,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,107.3
460,Angola,Infectious and parasitic diseases,Tuberculosis,12.3
461,Angola,Infectious and parasitic diseases,STDs excluding HIV,0.8
462,Angola,Infectious and parasitic diseases,HIV/AIDS,3.8
463,Angola,Infectious and parasitic diseases,Diarrhoeal diseases,41.4
464,Angola,Infectious and parasitic diseases,Childhood-cluster diseases,8.8
465,Angola,Infectious and parasitic diseases,Meningitis,10.7
466,Angola,Infectious and parasitic diseases,Encephalitis,0.3
467,Angola,Infectious and parasitic diseases,Hepatitis,0.8
468,Angola,Infectious and parasitic diseases,Parasitic and vector diseases,26.7
469,Angola,Infectious and parasitic diseases,Intestinal nematode infections,0.2
470,Angola,Infectious and parasitic diseases,Leprosy,0.0
471,Angola,Infectious and parasitic diseases,Other infectious diseases,1.5
472,Angola,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,40.0
474,Angola,Respiratory Infectious ,Lower respiratory infections,39.8
475,Angola,Respiratory Infectious ,Upper respiratory infections,0.2
476,Angola,Respiratory Infectious ,Otitis media,0.0
477,Angola,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,4.1
479,Angola,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,34.0
481,Angola,Neonatal conditions,Preterm birth complications,13.6
482,Angola,Neonatal conditions,Birth asphyxia and birth trauma,14.6
483,Angola,Neonatal conditions,Neonatal sepsis and infections,4.4
484,Angola,Neonatal conditions,Other neonatal conditions,1.4
485,Angola,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,7.3
487,Angola,Nutritional deficiencies,Protein-energy malnutrition,7.1
488,Angola,Nutritional deficiencies,Iodine deficiency,0.0
489,Angola,Nutritional deficiencies,Vitamin A deficiency,0.0
490,Angola,Nutritional deficiencies,Iron-deficiency anaemia,0.0
491,Angola,Nutritional deficiencies,Other nutritional deficiencies,0.2
493,Angola,Noncommunicable diseases,Malignant neoplasms,5.7
495,Angola,Malignant neoplasms,Mouth and oropharynx cancers,0.3
496,Angola,Malignant neoplasms,Oesophagus cancer,0.2
497,Angola,Malignant neoplasms,Stomach cancer,0.3
498,Angola,Malignant neoplasms,Colon and rectum cancers,0.2
499,Angola,Malignant neoplasms,Liver cancer,0.3
500,Angola,Malignant neoplasms,Pancreas cancer,0.1
501,Angola,Malignant neoplasms,"Trachea, bronchus, lung cancers",0.2
502,Angola,Malignant neoplasms,Melanoma and other skin cancers,0.2
503,Angola,Malignant neoplasms,Breast cancer,0.5
504,Angola,Malignant neoplasms,Cervix uteri cancer,1.3
505,Angola,Malignant neoplasms,Corpus uteri cancer,0.0
506,Angola,Malignant neoplasms,Ovary cancer,0.1
507,Angola,Malignant neoplasms,Prostate cancer,0.6
