,Zimbabwe,source,target,value
37,Albania,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
39,Albania,Noncommunicable diseases,Malignant neoplasms,4.0
40,Albania,Noncommunicable diseases,Other neoplasms,0.0
41,Albania,Noncommunicable diseases,Diabetes mellitus,0.2
42,Albania,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
43,Albania,Noncommunicable diseases,Mental and substance use disorders,0.0
44,Albania,Noncommunicable diseases,Neurological conditions,0.9
45,Albania,Noncommunicable diseases,Sense organ diseases,0.0
46,Albania,Noncommunicable diseases,Cardiovascular diseases,9.3
47,Albania,Noncommunicable diseases,Respiratory diseases,0.9
48,Albania,Noncommunicable diseases,Digestive diseases,0.5
49,Albania,Noncommunicable diseases,Genitourinary diseases,0.3
50,Albania,Noncommunicable diseases,Skin diseases,0.0
51,Albania,Noncommunicable diseases,Musculoskeletal diseases,0.0
52,Albania,Noncommunicable diseases,Congenital anomalies,0.3
53,Albania,Noncommunicable diseases,Oral conditions,0.0
54,Albania,Noncommunicable diseases,Sudden infant death syndrome,0.0
56,Albania,Injuries,Unintentional injuries,1.2
57,Albania,Injuries,Intentional injuries,0.3
58,Algeria,All Causes,"Communicable, maternal, perinatal and nutritional conditions",26.9
59,Algeria,All Causes,Noncommunicable diseases,94.8
60,Algeria,All Causes,Injuries,17.1
62,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,8.1
63,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,6.9
64,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.8
65,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,10.9
66,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
68,Algeria,Noncommunicable diseases,Malignant neoplasms,15.4
69,Algeria,Noncommunicable diseases,Other neoplasms,0.0
70,Algeria,Noncommunicable diseases,Diabetes mellitus,1.7
71,Algeria,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.6
72,Algeria,Noncommunicable diseases,Mental and substance use disorders,0.6
73,Algeria,Noncommunicable diseases,Neurological conditions,3.3
74,Algeria,Noncommunicable diseases,Sense organ diseases,0.0
75,Algeria,Noncommunicable diseases,Cardiovascular diseases,57.0
76,Algeria,Noncommunicable diseases,Respiratory diseases,4.5
77,Algeria,Noncommunicable diseases,Digestive diseases,3.9
78,Algeria,Noncommunicable diseases,Genitourinary diseases,3.7
79,Algeria,Noncommunicable diseases,Skin diseases,0.0
80,Algeria,Noncommunicable diseases,Musculoskeletal diseases,0.1
81,Algeria,Noncommunicable diseases,Congenital anomalies,3.4
82,Algeria,Noncommunicable diseases,Oral conditions,0.0
83,Algeria,Noncommunicable diseases,Sudden infant death syndrome,0.4
85,Algeria,Injuries,Unintentional injuries,12.4
86,Algeria,Injuries,Intentional injuries,4.7
87,Angola,All Causes,"Communicable, maternal, perinatal and nutritional conditions",192.7
88,Angola,All Causes,Noncommunicable diseases,53.5
89,Angola,All Causes,Injuries,18.4
91,Angola,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,107.3
92,Angola,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,40.0
93,Angola,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,4.1
94,Angola,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,34.0
95,Angola,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,7.3
97,Angola,Noncommunicable diseases,Malignant neoplasms,5.7
98,Angola,Noncommunicable diseases,Other neoplasms,0.0
99,Angola,Noncommunicable diseases,Diabetes mellitus,2.7
100,Angola,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.0
101,Angola,Noncommunicable diseases,Mental and substance use disorders,0.4
102,Angola,Noncommunicable diseases,Neurological conditions,1.5
103,Angola,Noncommunicable diseases,Sense organ diseases,0.0
104,Angola,Noncommunicable diseases,Cardiovascular diseases,20.6
105,Angola,Noncommunicable diseases,Respiratory diseases,4.6
106,Angola,Noncommunicable diseases,Digestive diseases,7.2
107,Angola,Noncommunicable diseases,Genitourinary diseases,2.5
108,Angola,Noncommunicable diseases,Skin diseases,0.1
109,Angola,Noncommunicable diseases,Musculoskeletal diseases,0.1
110,Angola,Noncommunicable diseases,Congenital anomalies,6.5
111,Angola,Noncommunicable diseases,Oral conditions,0.0
112,Angola,Noncommunicable diseases,Sudden infant death syndrome,0.5
114,Angola,Injuries,Unintentional injuries,10.9
115,Angola,Injuries,Intentional injuries,7.5
116,Antigua and Barbuda,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.1
117,Antigua and Barbuda,All Causes,Noncommunicable diseases,0.3
118,Antigua and Barbuda,All Causes,Injuries,0.0
120,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.0
121,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.0
122,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
123,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
124,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
126,Antigua and Barbuda,Noncommunicable diseases,Malignant neoplasms,0.1
127,Antigua and Barbuda,Noncommunicable diseases,Other neoplasms,0.0
128,Antigua and Barbuda,Noncommunicable diseases,Diabetes mellitus,0.0
129,Antigua and Barbuda,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
130,Antigua and Barbuda,Noncommunicable diseases,Mental and substance use disorders,0.0
131,Antigua and Barbuda,Noncommunicable diseases,Neurological conditions,0.0
132,Antigua and Barbuda,Noncommunicable diseases,Sense organ diseases,0.0
133,Antigua and Barbuda,Noncommunicable diseases,Cardiovascular diseases,0.1
134,Antigua and Barbuda,Noncommunicable diseases,Respiratory diseases,0.0
135,Antigua and Barbuda,Noncommunicable diseases,Digestive diseases,0.0
136,Antigua and Barbuda,Noncommunicable diseases,Genitourinary diseases,0.0
137,Antigua and Barbuda,Noncommunicable diseases,Skin diseases,0.0
138,Antigua and Barbuda,Noncommunicable diseases,Musculoskeletal diseases,0.0
139,Antigua and Barbuda,Noncommunicable diseases,Congenital anomalies,0.0
140,Antigua and Barbuda,Noncommunicable diseases,Oral conditions,0.0
141,Antigua and Barbuda,Noncommunicable diseases,Sudden infant death syndrome,0.0
143,Antigua and Barbuda,Injuries,Unintentional injuries,0.0
144,Antigua and Barbuda,Injuries,Intentional injuries,0.0
145,Argentina,All Causes,"Communicable, maternal, perinatal and nutritional conditions",34.0
146,Argentina,All Causes,Noncommunicable diseases,223.7
147,Argentina,All Causes,Injuries,19.4
149,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,14.4
150,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,11.3
151,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.5
152,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,5.8
153,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,2.1
155,Argentina,Noncommunicable diseases,Malignant neoplasms,57.3
156,Argentina,Noncommunicable diseases,Other neoplasms,2.3
157,Argentina,Noncommunicable diseases,Diabetes mellitus,6.8
158,Argentina,Noncommunicable diseases,"Endocrine, blood, immune disorders",2.7
159,Argentina,Noncommunicable diseases,Mental and substance use disorders,1.4
160,Argentina,Noncommunicable diseases,Neurological conditions,4.8
161,Argentina,Noncommunicable diseases,Sense organ diseases,0.0
162,Argentina,Noncommunicable diseases,Cardiovascular diseases,90.0
163,Argentina,Noncommunicable diseases,Respiratory diseases,30.8
164,Argentina,Noncommunicable diseases,Digestive diseases,11.8
165,Argentina,Noncommunicable diseases,Genitourinary diseases,10.5
166,Argentina,Noncommunicable diseases,Skin diseases,0.5
167,Argentina,Noncommunicable diseases,Musculoskeletal diseases,0.6
168,Argentina,Noncommunicable diseases,Congenital anomalies,3.7
169,Argentina,Noncommunicable diseases,Oral conditions,0.0
170,Argentina,Noncommunicable diseases,Sudden infant death syndrome,0.5
172,Argentina,Injuries,Unintentional injuries,13.2
173,Argentina,Injuries,Intentional injuries,6.1
174,Armenia,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.3
175,Armenia,All Causes,Noncommunicable diseases,21.9
176,Armenia,All Causes,Injuries,1.4
178,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.3
179,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.4
180,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
181,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.5
182,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
184,Armenia,Noncommunicable diseases,Malignant neoplasms,4.0
185,Armenia,Noncommunicable diseases,Other neoplasms,0.0
186,Armenia,Noncommunicable diseases,Diabetes mellitus,1.2
187,Armenia,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
188,Armenia,Noncommunicable diseases,Mental and substance use disorders,0.0
189,Armenia,Noncommunicable diseases,Neurological conditions,0.2
190,Armenia,Noncommunicable diseases,Sense organ diseases,0.0
191,Armenia,Noncommunicable diseases,Cardiovascular diseases,13.7
192,Armenia,Noncommunicable diseases,Respiratory diseases,1.2
193,Armenia,Noncommunicable diseases,Digestive diseases,0.8
194,Armenia,Noncommunicable diseases,Genitourinary diseases,0.4
195,Armenia,Noncommunicable diseases,Skin diseases,0.0
196,Armenia,Noncommunicable diseases,Musculoskeletal diseases,0.0
197,Armenia,Noncommunicable diseases,Congenital anomalies,0.2
198,Armenia,Noncommunicable diseases,Oral conditions,0.0
199,Armenia,Noncommunicable diseases,Sudden infant death syndrome,0.0
201,Armenia,Injuries,Unintentional injuries,1.2
202,Armenia,Injuries,Intentional injuries,0.2
203,Australia,All Causes,"Communicable, maternal, perinatal and nutritional conditions",5.5
204,Australia,All Causes,Noncommunicable diseases,112.7
205,Australia,All Causes,Injuries,7.4
207,Australia,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.7
208,Australia,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,2.9
209,Australia,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
210,Australia,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.7
211,Australia,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
213,Australia,Noncommunicable diseases,Malignant neoplasms,35.2
214,Australia,Noncommunicable diseases,Other neoplasms,0.7
215,Australia,Noncommunicable diseases,Diabetes mellitus,2.8
216,Australia,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
217,Australia,Noncommunicable diseases,Mental and substance use disorders,1.9
218,Australia,Noncommunicable diseases,Neurological conditions,6.0
219,Australia,Noncommunicable diseases,Sense organ diseases,0.0
220,Australia,Noncommunicable diseases,Cardiovascular diseases,47.7
221,Australia,Noncommunicable diseases,Respiratory diseases,8.5
222,Australia,Noncommunicable diseases,Digestive diseases,4.0
223,Australia,Noncommunicable diseases,Genitourinary diseases,2.8
224,Australia,Noncommunicable diseases,Skin diseases,0.2
225,Australia,Noncommunicable diseases,Musculoskeletal diseases,0.8
226,Australia,Noncommunicable diseases,Congenital anomalies,0.7
227,Australia,Noncommunicable diseases,Oral conditions,0.0
228,Australia,Noncommunicable diseases,Sudden infant death syndrome,0.1
230,Australia,Injuries,Unintentional injuries,4.6
231,Australia,Injuries,Intentional injuries,2.7
232,Austria,All Causes,"Communicable, maternal, perinatal and nutritional conditions",2.1
233,Austria,All Causes,Noncommunicable diseases,70.9
234,Austria,All Causes,Injuries,4.4
236,Austria,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.4
237,Austria,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.5
238,Austria,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
239,Austria,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
240,Austria,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
242,Austria,Noncommunicable diseases,Malignant neoplasms,19.0
243,Austria,Noncommunicable diseases,Other neoplasms,0.4
244,Austria,Noncommunicable diseases,Diabetes mellitus,1.2
245,Austria,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
246,Austria,Noncommunicable diseases,Mental and substance use disorders,0.5
247,Austria,Noncommunicable diseases,Neurological conditions,1.1
248,Austria,Noncommunicable diseases,Sense organ diseases,0.0
249,Austria,Noncommunicable diseases,Cardiovascular diseases,39.0
250,Austria,Noncommunicable diseases,Respiratory diseases,4.5
251,Austria,Noncommunicable diseases,Digestive diseases,3.5
252,Austria,Noncommunicable diseases,Genitourinary diseases,1.1
253,Austria,Noncommunicable diseases,Skin diseases,0.0
254,Austria,Noncommunicable diseases,Musculoskeletal diseases,0.1
255,Austria,Noncommunicable diseases,Congenital anomalies,0.2
256,Austria,Noncommunicable diseases,Oral conditions,0.0
257,Austria,Noncommunicable diseases,Sudden infant death syndrome,0.0
259,Austria,Injuries,Unintentional injuries,2.7
260,Austria,Injuries,Intentional injuries,1.7
261,Azerbaijan,All Causes,"Communicable, maternal, perinatal and nutritional conditions",11.7
262,Azerbaijan,All Causes,Noncommunicable diseases,47.4
263,Azerbaijan,All Causes,Injuries,3.2
265,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,4.2
266,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,3.3
267,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.1
268,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,4.0
269,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.1
271,Azerbaijan,Noncommunicable diseases,Malignant neoplasms,4.8
272,Azerbaijan,Noncommunicable diseases,Other neoplasms,0.0
273,Azerbaijan,Noncommunicable diseases,Diabetes mellitus,1.4
274,Azerbaijan,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.6
275,Azerbaijan,Noncommunicable diseases,Mental and substance use disorders,0.3
276,Azerbaijan,Noncommunicable diseases,Neurological conditions,1.3
277,Azerbaijan,Noncommunicable diseases,Sense organ diseases,0.0
278,Azerbaijan,Noncommunicable diseases,Cardiovascular diseases,31.5
279,Azerbaijan,Noncommunicable diseases,Respiratory diseases,2.0
280,Azerbaijan,Noncommunicable diseases,Digestive diseases,3.7
281,Azerbaijan,Noncommunicable diseases,Genitourinary diseases,1.0
282,Azerbaijan,Noncommunicable diseases,Skin diseases,0.0
283,Azerbaijan,Noncommunicable diseases,Musculoskeletal diseases,0.0
284,Azerbaijan,Noncommunicable diseases,Congenital anomalies,0.8
285,Azerbaijan,Noncommunicable diseases,Oral conditions,0.0
286,Azerbaijan,Noncommunicable diseases,Sudden infant death syndrome,0.0
288,Azerbaijan,Injuries,Unintentional injuries,2.7
289,Azerbaijan,Injuries,Intentional injuries,0.5
290,Bahamas,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.5
291,Bahamas,All Causes,Noncommunicable diseases,1.1
292,Bahamas,All Causes,Injuries,0.2
294,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.4
295,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
296,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
297,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
298,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
300,Bahamas,Noncommunicable diseases,Malignant neoplasms,0.2
301,Bahamas,Noncommunicable diseases,Other neoplasms,0.0
302,Bahamas,Noncommunicable diseases,Diabetes mellitus,0.1
303,Bahamas,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
304,Bahamas,Noncommunicable diseases,Mental and substance use disorders,0.0
305,Bahamas,Noncommunicable diseases,Neurological conditions,0.0
306,Bahamas,Noncommunicable diseases,Sense organ diseases,0.0
307,Bahamas,Noncommunicable diseases,Cardiovascular diseases,0.5
308,Bahamas,Noncommunicable diseases,Respiratory diseases,0.0
309,Bahamas,Noncommunicable diseases,Digestive diseases,0.1
310,Bahamas,Noncommunicable diseases,Genitourinary diseases,0.1
311,Bahamas,Noncommunicable diseases,Skin diseases,0.0
312,Bahamas,Noncommunicable diseases,Musculoskeletal diseases,0.0
313,Bahamas,Noncommunicable diseases,Congenital anomalies,0.0
314,Bahamas,Noncommunicable diseases,Oral conditions,0.0
315,Bahamas,Noncommunicable diseases,Sudden infant death syndrome,0.0
317,Bahamas,Injuries,Unintentional injuries,0.1
318,Bahamas,Injuries,Intentional injuries,0.1
319,Bahrain,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.2
320,Bahrain,All Causes,Noncommunicable diseases,2.3
321,Bahrain,All Causes,Injuries,0.3
323,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.1
324,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
325,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
326,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.1
327,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
329,Bahrain,Noncommunicable diseases,Malignant neoplasms,0.3
330,Bahrain,Noncommunicable diseases,Other neoplasms,0.0
331,Bahrain,Noncommunicable diseases,Diabetes mellitus,0.2
332,Bahrain,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
333,Bahrain,Noncommunicable diseases,Mental and substance use disorders,0.0
334,Bahrain,Noncommunicable diseases,Neurological conditions,0.1
335,Bahrain,Noncommunicable diseases,Sense organ diseases,0.0
336,Bahrain,Noncommunicable diseases,Cardiovascular diseases,1.0
337,Bahrain,Noncommunicable diseases,Respiratory diseases,0.2
338,Bahrain,Noncommunicable diseases,Digestive diseases,0.2
339,Bahrain,Noncommunicable diseases,Genitourinary diseases,0.1
340,Bahrain,Noncommunicable diseases,Skin diseases,0.0
341,Bahrain,Noncommunicable diseases,Musculoskeletal diseases,0.0
342,Bahrain,Noncommunicable diseases,Congenital anomalies,0.1
343,Bahrain,Noncommunicable diseases,Oral conditions,0.0
344,Bahrain,Noncommunicable diseases,Sudden infant death syndrome,0.0
346,Bahrain,Injuries,Unintentional injuries,0.3
347,Bahrain,Injuries,Intentional injuries,0.1
348,Bangladesh,All Causes,"Communicable, maternal, perinatal and nutritional conditions",435.4
349,Bangladesh,All Causes,Noncommunicable diseases,373.6
350,Bangladesh,All Causes,Injuries,57.5
352,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,211.8
353,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,70.9
354,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,11.0
355,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,124.3
356,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,17.4
358,Bangladesh,Noncommunicable diseases,Malignant neoplasms,73.2
359,Bangladesh,Noncommunicable diseases,Other neoplasms,0.1
360,Bangladesh,Noncommunicable diseases,Diabetes mellitus,15.9
361,Bangladesh,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
362,Bangladesh,Noncommunicable diseases,Mental and substance use disorders,1.8
363,Bangladesh,Noncommunicable diseases,Neurological conditions,8.7
364,Bangladesh,Noncommunicable diseases,Sense organ diseases,0.0
365,Bangladesh,Noncommunicable diseases,Cardiovascular diseases,152.6
366,Bangladesh,Noncommunicable diseases,Respiratory diseases,55.4
367,Bangladesh,Noncommunicable diseases,Digestive diseases,38.6
368,Bangladesh,Noncommunicable diseases,Genitourinary diseases,9.2
369,Bangladesh,Noncommunicable diseases,Skin diseases,0.5
370,Bangladesh,Noncommunicable diseases,Musculoskeletal diseases,0.9
371,Bangladesh,Noncommunicable diseases,Congenital anomalies,14.5
372,Bangladesh,Noncommunicable diseases,Oral conditions,0.0
373,Bangladesh,Noncommunicable diseases,Sudden infant death syndrome,0.9
375,Bangladesh,Injuries,Unintentional injuries,45.9
376,Bangladesh,Injuries,Intentional injuries,11.6
377,Barbados,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.4
378,Barbados,All Causes,Noncommunicable diseases,2.1
379,Barbados,All Causes,Injuries,0.1
381,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
382,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
383,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
384,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
385,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
387,Barbados,Noncommunicable diseases,Malignant neoplasms,0.6
388,Barbados,Noncommunicable diseases,Other neoplasms,0.0
389,Barbados,Noncommunicable diseases,Diabetes mellitus,0.2
390,Barbados,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
391,Barbados,Noncommunicable diseases,Mental and substance use disorders,0.0
392,Barbados,Noncommunicable diseases,Neurological conditions,0.1
393,Barbados,Noncommunicable diseases,Sense organ diseases,0.0
394,Barbados,Noncommunicable diseases,Cardiovascular diseases,0.8
395,Barbados,Noncommunicable diseases,Respiratory diseases,0.1
396,Barbados,Noncommunicable diseases,Digestive diseases,0.1
397,Barbados,Noncommunicable diseases,Genitourinary diseases,0.1
398,Barbados,Noncommunicable diseases,Skin diseases,0.1
399,Barbados,Noncommunicable diseases,Musculoskeletal diseases,0.0
400,Barbados,Noncommunicable diseases,Congenital anomalies,0.0
401,Barbados,Noncommunicable diseases,Oral conditions,0.0
402,Barbados,Noncommunicable diseases,Sudden infant death syndrome,0.0
404,Barbados,Injuries,Unintentional injuries,0.1
405,Barbados,Injuries,Intentional injuries,0.0
406,Belarus,All Causes,"Communicable, maternal, perinatal and nutritional conditions",3.1
407,Belarus,All Causes,Noncommunicable diseases,116.3
408,Belarus,All Causes,Injuries,13.7
410,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.2
411,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.5
412,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
413,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.4
414,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.1
416,Belarus,Noncommunicable diseases,Malignant neoplasms,21.4
417,Belarus,Noncommunicable diseases,Other neoplasms,0.0
418,Belarus,Noncommunicable diseases,Diabetes mellitus,0.7
419,Belarus,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
420,Belarus,Noncommunicable diseases,Mental and substance use disorders,3.2
421,Belarus,Noncommunicable diseases,Neurological conditions,3.1
422,Belarus,Noncommunicable diseases,Sense organ diseases,0.0
423,Belarus,Noncommunicable diseases,Cardiovascular diseases,77.5
424,Belarus,Noncommunicable diseases,Respiratory diseases,5.6
425,Belarus,Noncommunicable diseases,Digestive diseases,3.3
426,Belarus,Noncommunicable diseases,Genitourinary diseases,0.9
427,Belarus,Noncommunicable diseases,Skin diseases,0.0
428,Belarus,Noncommunicable diseases,Musculoskeletal diseases,0.0
429,Belarus,Noncommunicable diseases,Congenital anomalies,0.5
430,Belarus,Noncommunicable diseases,Oral conditions,0.0
431,Belarus,Noncommunicable diseases,Sudden infant death syndrome,0.0
433,Belarus,Injuries,Unintentional injuries,8.3
434,Belarus,Injuries,Intentional injuries,5.4
435,Belgium,All Causes,"Communicable, maternal, perinatal and nutritional conditions",7.9
436,Belgium,All Causes,Noncommunicable diseases,90.8
437,Belgium,All Causes,Injuries,6.9
439,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,2.2
440,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,5.2
441,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
442,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
443,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.3
445,Belgium,Noncommunicable diseases,Malignant neoplasms,27.3
446,Belgium,Noncommunicable diseases,Other neoplasms,0.7
447,Belgium,Noncommunicable diseases,Diabetes mellitus,1.4
448,Belgium,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.0
449,Belgium,Noncommunicable diseases,Mental and substance use disorders,0.6
450,Belgium,Noncommunicable diseases,Neurological conditions,5.4
451,Belgium,Noncommunicable diseases,Sense organ diseases,0.0
452,Belgium,Noncommunicable diseases,Cardiovascular diseases,37.6
453,Belgium,Noncommunicable diseases,Respiratory diseases,9.0
454,Belgium,Noncommunicable diseases,Digestive diseases,4.7
455,Belgium,Noncommunicable diseases,Genitourinary diseases,1.7
