,Zimbabwe,source,target,value
37,Albania,Noncommunicable diseases,Diabetes mellitus,0.2
38,Albania,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
39,Albania,Noncommunicable diseases,Mental and substance use disorders,0.0
40,Albania,Noncommunicable diseases,Neurological conditions,0.9
41,Albania,Noncommunicable diseases,Sense organ diseases,0.0
42,Albania,Noncommunicable diseases,Cardiovascular diseases,9.3
43,Albania,Noncommunicable diseases,Respiratory diseases,0.9
44,Albania,Noncommunicable diseases,Digestive diseases,0.5
45,Albania,Noncommunicable diseases,Genitourinary diseases,0.3
46,Albania,Noncommunicable diseases,Skin diseases,0.0
47,Albania,Noncommunicable diseases,Musculoskeletal diseases,0.0
48,Albania,Noncommunicable diseases,Congenital anomalies,0.3
49,Albania,Noncommunicable diseases,Oral conditions,0.0
50,Algeria,All Causes,"Communicable, maternal, perinatal and nutritional conditions",26.9
51,Algeria,All Causes,Noncommunicable diseases,94.8
52,Algeria,All Causes,Injuries,17.1
54,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,8.1
55,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,6.9
56,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.8
57,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,10.9
58,Algeria,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
60,Algeria,Noncommunicable diseases,Malignant neoplasms,15.4
61,Algeria,Noncommunicable diseases,Other neoplasms,0.0
62,Algeria,Noncommunicable diseases,Diabetes mellitus,1.7
63,Algeria,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.6
64,Algeria,Noncommunicable diseases,Mental and substance use disorders,0.6
65,Algeria,Noncommunicable diseases,Neurological conditions,3.3
66,Algeria,Noncommunicable diseases,Sense organ diseases,0.0
67,Algeria,Noncommunicable diseases,Cardiovascular diseases,57.0
68,Algeria,Noncommunicable diseases,Respiratory diseases,4.5
69,Algeria,Noncommunicable diseases,Digestive diseases,3.9
70,Algeria,Noncommunicable diseases,Genitourinary diseases,3.7
71,Algeria,Noncommunicable diseases,Skin diseases,0.0
72,Algeria,Noncommunicable diseases,Musculoskeletal diseases,0.1
73,Algeria,Noncommunicable diseases,Congenital anomalies,3.4
74,Algeria,Noncommunicable diseases,Oral conditions,0.0
75,Angola,All Causes,"Communicable, maternal, perinatal and nutritional conditions",192.7
76,Angola,All Causes,Noncommunicable diseases,53.5
77,Angola,All Causes,Injuries,18.4
79,Angola,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,107.3
80,Angola,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,40.0
81,Angola,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,4.1
82,Angola,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,34.0
83,Angola,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,7.3
85,Angola,Noncommunicable diseases,Malignant neoplasms,5.7
86,Angola,Noncommunicable diseases,Other neoplasms,0.0
87,Angola,Noncommunicable diseases,Diabetes mellitus,2.7
88,Angola,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.0
89,Angola,Noncommunicable diseases,Mental and substance use disorders,0.4
90,Angola,Noncommunicable diseases,Neurological conditions,1.5
91,Angola,Noncommunicable diseases,Sense organ diseases,0.0
92,Angola,Noncommunicable diseases,Cardiovascular diseases,20.6
93,Angola,Noncommunicable diseases,Respiratory diseases,4.6
94,Angola,Noncommunicable diseases,Digestive diseases,7.2
95,Angola,Noncommunicable diseases,Genitourinary diseases,2.5
96,Angola,Noncommunicable diseases,Skin diseases,0.1
97,Angola,Noncommunicable diseases,Musculoskeletal diseases,0.1
98,Angola,Noncommunicable diseases,Congenital anomalies,6.5
99,Angola,Noncommunicable diseases,Oral conditions,0.0
100,Antigua and Barbuda,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.1
101,Antigua and Barbuda,All Causes,Noncommunicable diseases,0.3
102,Antigua and Barbuda,All Causes,Injuries,0.0
104,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.0
105,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.0
106,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
107,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
108,Antigua and Barbuda,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
110,Antigua and Barbuda,Noncommunicable diseases,Malignant neoplasms,0.1
111,Antigua and Barbuda,Noncommunicable diseases,Other neoplasms,0.0
112,Antigua and Barbuda,Noncommunicable diseases,Diabetes mellitus,0.0
113,Antigua and Barbuda,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
114,Antigua and Barbuda,Noncommunicable diseases,Mental and substance use disorders,0.0
115,Antigua and Barbuda,Noncommunicable diseases,Neurological conditions,0.0
116,Antigua and Barbuda,Noncommunicable diseases,Sense organ diseases,0.0
117,Antigua and Barbuda,Noncommunicable diseases,Cardiovascular diseases,0.1
118,Antigua and Barbuda,Noncommunicable diseases,Respiratory diseases,0.0
119,Antigua and Barbuda,Noncommunicable diseases,Digestive diseases,0.0
120,Antigua and Barbuda,Noncommunicable diseases,Genitourinary diseases,0.0
121,Antigua and Barbuda,Noncommunicable diseases,Skin diseases,0.0
122,Antigua and Barbuda,Noncommunicable diseases,Musculoskeletal diseases,0.0
123,Antigua and Barbuda,Noncommunicable diseases,Congenital anomalies,0.0
124,Antigua and Barbuda,Noncommunicable diseases,Oral conditions,0.0
125,Argentina,All Causes,"Communicable, maternal, perinatal and nutritional conditions",34.0
126,Argentina,All Causes,Noncommunicable diseases,223.7
127,Argentina,All Causes,Injuries,19.4
129,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,14.4
130,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,11.3
131,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.5
132,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,5.8
133,Argentina,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,2.1
135,Argentina,Noncommunicable diseases,Malignant neoplasms,57.3
136,Argentina,Noncommunicable diseases,Other neoplasms,2.3
137,Argentina,Noncommunicable diseases,Diabetes mellitus,6.8
138,Argentina,Noncommunicable diseases,"Endocrine, blood, immune disorders",2.7
139,Argentina,Noncommunicable diseases,Mental and substance use disorders,1.4
140,Argentina,Noncommunicable diseases,Neurological conditions,4.8
141,Argentina,Noncommunicable diseases,Sense organ diseases,0.0
142,Argentina,Noncommunicable diseases,Cardiovascular diseases,90.0
143,Argentina,Noncommunicable diseases,Respiratory diseases,30.8
144,Argentina,Noncommunicable diseases,Digestive diseases,11.8
145,Argentina,Noncommunicable diseases,Genitourinary diseases,10.5
146,Argentina,Noncommunicable diseases,Skin diseases,0.5
147,Argentina,Noncommunicable diseases,Musculoskeletal diseases,0.6
148,Argentina,Noncommunicable diseases,Congenital anomalies,3.7
149,Argentina,Noncommunicable diseases,Oral conditions,0.0
150,Armenia,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.3
151,Armenia,All Causes,Noncommunicable diseases,21.9
152,Armenia,All Causes,Injuries,1.4
154,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.3
155,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.4
156,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
157,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.5
158,Armenia,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
160,Armenia,Noncommunicable diseases,Malignant neoplasms,4.0
161,Armenia,Noncommunicable diseases,Other neoplasms,0.0
162,Armenia,Noncommunicable diseases,Diabetes mellitus,1.2
163,Armenia,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
164,Armenia,Noncommunicable diseases,Mental and substance use disorders,0.0
165,Armenia,Noncommunicable diseases,Neurological conditions,0.2
166,Armenia,Noncommunicable diseases,Sense organ diseases,0.0
167,Armenia,Noncommunicable diseases,Cardiovascular diseases,13.7
168,Armenia,Noncommunicable diseases,Respiratory diseases,1.2
169,Armenia,Noncommunicable diseases,Digestive diseases,0.8
170,Armenia,Noncommunicable diseases,Genitourinary diseases,0.4
171,Armenia,Noncommunicable diseases,Skin diseases,0.0
172,Armenia,Noncommunicable diseases,Musculoskeletal diseases,0.0
173,Armenia,Noncommunicable diseases,Congenital anomalies,0.2
174,Armenia,Noncommunicable diseases,Oral conditions,0.0
175,Australia,All Causes,"Communicable, maternal, perinatal and nutritional conditions",5.5
176,Australia,All Causes,Noncommunicable diseases,112.7
177,Australia,All Causes,Injuries,7.4
179,Australia,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.7
180,Australia,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,2.9
181,Australia,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
182,Australia,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.7
183,Australia,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
185,Australia,Noncommunicable diseases,Malignant neoplasms,35.2
186,Australia,Noncommunicable diseases,Other neoplasms,0.7
187,Australia,Noncommunicable diseases,Diabetes mellitus,2.8
188,Australia,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
189,Australia,Noncommunicable diseases,Mental and substance use disorders,1.9
190,Australia,Noncommunicable diseases,Neurological conditions,6.0
191,Australia,Noncommunicable diseases,Sense organ diseases,0.0
192,Australia,Noncommunicable diseases,Cardiovascular diseases,47.7
193,Australia,Noncommunicable diseases,Respiratory diseases,8.5
194,Australia,Noncommunicable diseases,Digestive diseases,4.0
195,Australia,Noncommunicable diseases,Genitourinary diseases,2.8
196,Australia,Noncommunicable diseases,Skin diseases,0.2
197,Australia,Noncommunicable diseases,Musculoskeletal diseases,0.8
198,Australia,Noncommunicable diseases,Congenital anomalies,0.7
199,Australia,Noncommunicable diseases,Oral conditions,0.0
200,Austria,All Causes,"Communicable, maternal, perinatal and nutritional conditions",2.1
201,Austria,All Causes,Noncommunicable diseases,70.9
202,Austria,All Causes,Injuries,4.4
204,Austria,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.4
205,Austria,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.5
206,Austria,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
207,Austria,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
208,Austria,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
210,Austria,Noncommunicable diseases,Malignant neoplasms,19.0
211,Austria,Noncommunicable diseases,Other neoplasms,0.4
212,Austria,Noncommunicable diseases,Diabetes mellitus,1.2
213,Austria,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
214,Austria,Noncommunicable diseases,Mental and substance use disorders,0.5
215,Austria,Noncommunicable diseases,Neurological conditions,1.1
216,Austria,Noncommunicable diseases,Sense organ diseases,0.0
217,Austria,Noncommunicable diseases,Cardiovascular diseases,39.0
218,Austria,Noncommunicable diseases,Respiratory diseases,4.5
219,Austria,Noncommunicable diseases,Digestive diseases,3.5
220,Austria,Noncommunicable diseases,Genitourinary diseases,1.1
221,Austria,Noncommunicable diseases,Skin diseases,0.0
222,Austria,Noncommunicable diseases,Musculoskeletal diseases,0.1
223,Austria,Noncommunicable diseases,Congenital anomalies,0.2
224,Austria,Noncommunicable diseases,Oral conditions,0.0
225,Azerbaijan,All Causes,"Communicable, maternal, perinatal and nutritional conditions",11.7
226,Azerbaijan,All Causes,Noncommunicable diseases,47.4
227,Azerbaijan,All Causes,Injuries,3.2
229,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,4.2
230,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,3.3
231,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.1
232,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,4.0
233,Azerbaijan,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.1
235,Azerbaijan,Noncommunicable diseases,Malignant neoplasms,4.8
236,Azerbaijan,Noncommunicable diseases,Other neoplasms,0.0
237,Azerbaijan,Noncommunicable diseases,Diabetes mellitus,1.4
238,Azerbaijan,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.6
239,Azerbaijan,Noncommunicable diseases,Mental and substance use disorders,0.3
240,Azerbaijan,Noncommunicable diseases,Neurological conditions,1.3
241,Azerbaijan,Noncommunicable diseases,Sense organ diseases,0.0
242,Azerbaijan,Noncommunicable diseases,Cardiovascular diseases,31.5
243,Azerbaijan,Noncommunicable diseases,Respiratory diseases,2.0
244,Azerbaijan,Noncommunicable diseases,Digestive diseases,3.7
245,Azerbaijan,Noncommunicable diseases,Genitourinary diseases,1.0
246,Azerbaijan,Noncommunicable diseases,Skin diseases,0.0
247,Azerbaijan,Noncommunicable diseases,Musculoskeletal diseases,0.0
248,Azerbaijan,Noncommunicable diseases,Congenital anomalies,0.8
249,Azerbaijan,Noncommunicable diseases,Oral conditions,0.0
250,Bahamas,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.5
251,Bahamas,All Causes,Noncommunicable diseases,1.1
252,Bahamas,All Causes,Injuries,0.2
254,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.4
255,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
256,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
257,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
258,Bahamas,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
260,Bahamas,Noncommunicable diseases,Malignant neoplasms,0.2
261,Bahamas,Noncommunicable diseases,Other neoplasms,0.0
262,Bahamas,Noncommunicable diseases,Diabetes mellitus,0.1
263,Bahamas,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
264,Bahamas,Noncommunicable diseases,Mental and substance use disorders,0.0
265,Bahamas,Noncommunicable diseases,Neurological conditions,0.0
266,Bahamas,Noncommunicable diseases,Sense organ diseases,0.0
267,Bahamas,Noncommunicable diseases,Cardiovascular diseases,0.5
268,Bahamas,Noncommunicable diseases,Respiratory diseases,0.0
269,Bahamas,Noncommunicable diseases,Digestive diseases,0.1
270,Bahamas,Noncommunicable diseases,Genitourinary diseases,0.1
271,Bahamas,Noncommunicable diseases,Skin diseases,0.0
272,Bahamas,Noncommunicable diseases,Musculoskeletal diseases,0.0
273,Bahamas,Noncommunicable diseases,Congenital anomalies,0.0
274,Bahamas,Noncommunicable diseases,Oral conditions,0.0
275,Bahrain,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.2
276,Bahrain,All Causes,Noncommunicable diseases,2.3
277,Bahrain,All Causes,Injuries,0.3
279,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.1
280,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
281,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
282,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.1
283,Bahrain,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
285,Bahrain,Noncommunicable diseases,Malignant neoplasms,0.3
286,Bahrain,Noncommunicable diseases,Other neoplasms,0.0
287,Bahrain,Noncommunicable diseases,Diabetes mellitus,0.2
288,Bahrain,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
289,Bahrain,Noncommunicable diseases,Mental and substance use disorders,0.0
290,Bahrain,Noncommunicable diseases,Neurological conditions,0.1
291,Bahrain,Noncommunicable diseases,Sense organ diseases,0.0
292,Bahrain,Noncommunicable diseases,Cardiovascular diseases,1.0
293,Bahrain,Noncommunicable diseases,Respiratory diseases,0.2
294,Bahrain,Noncommunicable diseases,Digestive diseases,0.2
295,Bahrain,Noncommunicable diseases,Genitourinary diseases,0.1
296,Bahrain,Noncommunicable diseases,Skin diseases,0.0
297,Bahrain,Noncommunicable diseases,Musculoskeletal diseases,0.0
298,Bahrain,Noncommunicable diseases,Congenital anomalies,0.1
299,Bahrain,Noncommunicable diseases,Oral conditions,0.0
300,Bangladesh,All Causes,"Communicable, maternal, perinatal and nutritional conditions",435.4
301,Bangladesh,All Causes,Noncommunicable diseases,373.6
302,Bangladesh,All Causes,Injuries,57.5
304,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,211.8
305,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,70.9
306,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,11.0
307,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,124.3
308,Bangladesh,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,17.4
310,Bangladesh,Noncommunicable diseases,Malignant neoplasms,73.2
311,Bangladesh,Noncommunicable diseases,Other neoplasms,0.1
312,Bangladesh,Noncommunicable diseases,Diabetes mellitus,15.9
313,Bangladesh,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
314,Bangladesh,Noncommunicable diseases,Mental and substance use disorders,1.8
315,Bangladesh,Noncommunicable diseases,Neurological conditions,8.7
316,Bangladesh,Noncommunicable diseases,Sense organ diseases,0.0
317,Bangladesh,Noncommunicable diseases,Cardiovascular diseases,152.6
318,Bangladesh,Noncommunicable diseases,Respiratory diseases,55.4
319,Bangladesh,Noncommunicable diseases,Digestive diseases,38.6
320,Bangladesh,Noncommunicable diseases,Genitourinary diseases,9.2
321,Bangladesh,Noncommunicable diseases,Skin diseases,0.5
322,Bangladesh,Noncommunicable diseases,Musculoskeletal diseases,0.9
323,Bangladesh,Noncommunicable diseases,Congenital anomalies,14.5
324,Bangladesh,Noncommunicable diseases,Oral conditions,0.0
325,Barbados,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.4
326,Barbados,All Causes,Noncommunicable diseases,2.1
327,Barbados,All Causes,Injuries,0.1
329,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
330,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
331,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
332,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
333,Barbados,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
335,Barbados,Noncommunicable diseases,Malignant neoplasms,0.6
336,Barbados,Noncommunicable diseases,Other neoplasms,0.0
337,Barbados,Noncommunicable diseases,Diabetes mellitus,0.2
338,Barbados,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
339,Barbados,Noncommunicable diseases,Mental and substance use disorders,0.0
340,Barbados,Noncommunicable diseases,Neurological conditions,0.1
341,Barbados,Noncommunicable diseases,Sense organ diseases,0.0
342,Barbados,Noncommunicable diseases,Cardiovascular diseases,0.8
343,Barbados,Noncommunicable diseases,Respiratory diseases,0.1
344,Barbados,Noncommunicable diseases,Digestive diseases,0.1
345,Barbados,Noncommunicable diseases,Genitourinary diseases,0.1
346,Barbados,Noncommunicable diseases,Skin diseases,0.1
347,Barbados,Noncommunicable diseases,Musculoskeletal diseases,0.0
348,Barbados,Noncommunicable diseases,Congenital anomalies,0.0
349,Barbados,Noncommunicable diseases,Oral conditions,0.0
350,Belarus,All Causes,"Communicable, maternal, perinatal and nutritional conditions",3.1
351,Belarus,All Causes,Noncommunicable diseases,116.3
352,Belarus,All Causes,Injuries,13.7
354,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.2
355,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.5
356,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
357,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.4
358,Belarus,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.1
360,Belarus,Noncommunicable diseases,Malignant neoplasms,21.4
361,Belarus,Noncommunicable diseases,Other neoplasms,0.0
362,Belarus,Noncommunicable diseases,Diabetes mellitus,0.7
363,Belarus,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
364,Belarus,Noncommunicable diseases,Mental and substance use disorders,3.2
365,Belarus,Noncommunicable diseases,Neurological conditions,3.1
366,Belarus,Noncommunicable diseases,Sense organ diseases,0.0
367,Belarus,Noncommunicable diseases,Cardiovascular diseases,77.5
368,Belarus,Noncommunicable diseases,Respiratory diseases,5.6
369,Belarus,Noncommunicable diseases,Digestive diseases,3.3
370,Belarus,Noncommunicable diseases,Genitourinary diseases,0.9
371,Belarus,Noncommunicable diseases,Skin diseases,0.0
372,Belarus,Noncommunicable diseases,Musculoskeletal diseases,0.0
373,Belarus,Noncommunicable diseases,Congenital anomalies,0.5
374,Belarus,Noncommunicable diseases,Oral conditions,0.0
375,Belgium,All Causes,"Communicable, maternal, perinatal and nutritional conditions",7.9
376,Belgium,All Causes,Noncommunicable diseases,90.8
377,Belgium,All Causes,Injuries,6.9
379,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,2.2
380,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,5.2
381,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
382,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
383,Belgium,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.3
385,Belgium,Noncommunicable diseases,Malignant neoplasms,27.3
386,Belgium,Noncommunicable diseases,Other neoplasms,0.7
387,Belgium,Noncommunicable diseases,Diabetes mellitus,1.4
388,Belgium,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.0
389,Belgium,Noncommunicable diseases,Mental and substance use disorders,0.6
390,Belgium,Noncommunicable diseases,Neurological conditions,5.4
391,Belgium,Noncommunicable diseases,Sense organ diseases,0.0
392,Belgium,Noncommunicable diseases,Cardiovascular diseases,37.6
393,Belgium,Noncommunicable diseases,Respiratory diseases,9.0
394,Belgium,Noncommunicable diseases,Digestive diseases,4.7
395,Belgium,Noncommunicable diseases,Genitourinary diseases,1.7
396,Belgium,Noncommunicable diseases,Skin diseases,0.5
397,Belgium,Noncommunicable diseases,Musculoskeletal diseases,0.5
398,Belgium,Noncommunicable diseases,Congenital anomalies,0.3
399,Belgium,Noncommunicable diseases,Oral conditions,0.0
400,Belize,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.3
401,Belize,All Causes,Noncommunicable diseases,0.8
402,Belize,All Causes,Injuries,0.2
404,Belize,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.1
405,Belize,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
406,Belize,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
407,Belize,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.1
408,Belize,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
410,Belize,Noncommunicable diseases,Malignant neoplasms,0.1
411,Belize,Noncommunicable diseases,Other neoplasms,0.0
412,Belize,Noncommunicable diseases,Diabetes mellitus,0.1
413,Belize,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
414,Belize,Noncommunicable diseases,Mental and substance use disorders,0.0
415,Belize,Noncommunicable diseases,Neurological conditions,0.0
416,Belize,Noncommunicable diseases,Sense organ diseases,0.0
417,Belize,Noncommunicable diseases,Cardiovascular diseases,0.3
418,Belize,Noncommunicable diseases,Respiratory diseases,0.0
419,Belize,Noncommunicable diseases,Digestive diseases,0.1
420,Belize,Noncommunicable diseases,Genitourinary diseases,0.1
421,Belize,Noncommunicable diseases,Skin diseases,0.0
422,Belize,Noncommunicable diseases,Musculoskeletal diseases,0.0
423,Belize,Noncommunicable diseases,Congenital anomalies,0.0
424,Belize,Noncommunicable diseases,Oral conditions,0.0
425,Benin,All Causes,"Communicable, maternal, perinatal and nutritional conditions",51.7
426,Benin,All Causes,Noncommunicable diseases,23.8
427,Benin,All Causes,Injuries,5.9
429,Benin,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,29.0
430,Benin,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,9.8
431,Benin,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,1.2
432,Benin,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,10.3
433,Benin,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,1.4
435,Benin,Noncommunicable diseases,Malignant neoplasms,3.2
436,Benin,Noncommunicable diseases,Other neoplasms,0.0
437,Benin,Noncommunicable diseases,Diabetes mellitus,1.1
