,Country,Year,source,target,value,real deaths
51,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.168831168831169,8.1
52,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.9956709956709958,6.9
53,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.11544011544011545,0.8
54,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,1.5728715728715732,10.9
55,Algeria,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.028860028860028863,0.2
56,Algeria,2000,Noncommunicable diseases,Malignant neoplasms,2.2222222222222223,15.4
58,Algeria,2000,Noncommunicable diseases,Diabetes mellitus,0.24531024531024534,1.7
59,Algeria,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.08658008658008659,0.6
60,Algeria,2000,Noncommunicable diseases,Mental and substance use disorders,0.08658008658008659,0.6
61,Algeria,2000,Noncommunicable diseases,Neurological conditions,0.4761904761904762,3.3
62,Algeria,2000,Noncommunicable diseases,Cardiovascular diseases,8.225108225108226,57.0
63,Algeria,2000,Noncommunicable diseases,Respiratory diseases,0.6493506493506495,4.5
64,Algeria,2000,Noncommunicable diseases,Digestive diseases,0.5627705627705628,3.9
65,Algeria,2000,Noncommunicable diseases,Genitourinary diseases,0.533910533910534,3.7
68,Algeria,2000,Noncommunicable diseases,Congenital anomalies,0.4906204906204907,3.4
69,Algeria,2000,Noncommunicable diseases,Sudden infant death syndrome,0.05772005772005773,0.4
70,Algeria,2000,Injuries,Unintentional injuries,1.7893217893217896,12.4
71,Algeria,2000,Injuries,Intentional injuries,0.6782106782106783,4.7
72,Angola,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",14.565381708238851,192.7
73,Angola,2000,All Causes,Noncommunicable diseases,4.043839758125473,53.5
74,Angola,2000,All Causes,Injuries,1.3907785336356764,18.4
75,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,8.11342155009452,107.3
76,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,3.024574669187146,40.0
77,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.31001890359168244,4.1
78,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,2.5708884688090743,34.0
79,Angola,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.5519848771266541,7.3
80,Angola,2000,Noncommunicable diseases,Malignant neoplasms,0.43100189035916836,5.7
82,Angola,2000,Noncommunicable diseases,Diabetes mellitus,0.2041587901701324,2.7
83,Angola,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.07561436672967865,1.0
84,Angola,2000,Noncommunicable diseases,Mental and substance use disorders,0.030245746691871463,0.4
85,Angola,2000,Noncommunicable diseases,Neurological conditions,0.11342155009451799,1.5
86,Angola,2000,Noncommunicable diseases,Cardiovascular diseases,1.5576559546313804,20.6
87,Angola,2000,Noncommunicable diseases,Respiratory diseases,0.3478260869565218,4.6
88,Angola,2000,Noncommunicable diseases,Digestive diseases,0.5444234404536863,7.2
89,Angola,2000,Noncommunicable diseases,Genitourinary diseases,0.18903591682419663,2.5
92,Angola,2000,Noncommunicable diseases,Congenital anomalies,0.49149338374291124,6.5
93,Angola,2000,Noncommunicable diseases,Sudden infant death syndrome,0.03780718336483933,0.5
94,Angola,2000,Injuries,Unintentional injuries,0.8241965973534974,10.9
95,Angola,2000,Injuries,Intentional injuries,0.5671077504725899,7.5
96,Antigua and Barbuda,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",5.0,0.1
97,Antigua and Barbuda,2000,All Causes,Noncommunicable diseases,15.0,0.3
104,Antigua and Barbuda,2000,Noncommunicable diseases,Malignant neoplasms,10.0,0.1
110,Antigua and Barbuda,2000,Noncommunicable diseases,Cardiovascular diseases,10.0,0.1
120,Argentina,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",2.4539877300613497,34.0
121,Argentina,2000,All Causes,Noncommunicable diseases,16.145795741609525,223.7
122,Argentina,2000,All Causes,Injuries,1.400216528329123,19.4
123,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.0393359797906891,14.4
124,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.8155900396968603,11.3
125,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.03608805485384337,0.5
126,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.4186214363045831,5.8
127,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.15156983038614216,2.1
128,Argentina,2000,Noncommunicable diseases,Malignant neoplasms,4.13569108625045,57.3
129,Argentina,2000,Noncommunicable diseases,Other neoplasms,0.1660050523276795,2.3
130,Argentina,2000,Noncommunicable diseases,Diabetes mellitus,0.4907975460122698,6.8
131,Argentina,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.19487549621075423,2.7
132,Argentina,2000,Noncommunicable diseases,Mental and substance use disorders,0.10104655359076144,1.4
133,Argentina,2000,Noncommunicable diseases,Neurological conditions,0.34644532659689636,4.8
134,Argentina,2000,Noncommunicable diseases,Cardiovascular diseases,6.495849873691807,90.0
135,Argentina,2000,Noncommunicable diseases,Respiratory diseases,2.2230241789967518,30.8
136,Argentina,2000,Noncommunicable diseases,Digestive diseases,0.8516780945507036,11.8
137,Argentina,2000,Noncommunicable diseases,Genitourinary diseases,0.7578491519307108,10.5
138,Argentina,2000,Noncommunicable diseases,Skin diseases,0.03608805485384337,0.5
139,Argentina,2000,Noncommunicable diseases,Musculoskeletal diseases,0.043305665824612045,0.6
140,Argentina,2000,Noncommunicable diseases,Congenital anomalies,0.26705160591844096,3.7
141,Argentina,2000,Noncommunicable diseases,Sudden infant death syndrome,0.03608805485384337,0.5
142,Argentina,2000,Injuries,Unintentional injuries,0.952724648141465,13.2
143,Argentina,2000,Injuries,Intentional injuries,0.4402742692168891,6.1
144,Armenia,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.0569105691056913,1.3
145,Armenia,2000,All Causes,Noncommunicable diseases,17.804878048780488,21.9
146,Armenia,2000,All Causes,Injuries,1.1382113821138211,1.4
147,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.24590163934426232,0.3
148,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.3278688524590165,0.4
150,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.40983606557377056,0.5
152,Armenia,2000,Noncommunicable diseases,Malignant neoplasms,3.2786885245901645,4.0
154,Armenia,2000,Noncommunicable diseases,Diabetes mellitus,0.9836065573770493,1.2
155,Armenia,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.08196721311475412,0.1
157,Armenia,2000,Noncommunicable diseases,Neurological conditions,0.16393442622950824,0.2
159,Armenia,2000,Noncommunicable diseases,Cardiovascular diseases,11.229508196721312,13.7
160,Armenia,2000,Noncommunicable diseases,Respiratory diseases,0.9836065573770493,1.2
161,Armenia,2000,Noncommunicable diseases,Digestive diseases,0.655737704918033,0.8
162,Armenia,2000,Noncommunicable diseases,Genitourinary diseases,0.3278688524590165,0.4
165,Armenia,2000,Noncommunicable diseases,Congenital anomalies,0.16393442622950824,0.2
168,Armenia,2000,Injuries,Unintentional injuries,0.9836065573770493,1.2
169,Armenia,2000,Injuries,Intentional injuries,0.16393442622950824,0.2
170,Australia,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.875796178343949,5.5
171,Australia,2000,All Causes,Noncommunicable diseases,17.945859872611464,112.7
172,Australia,2000,All Causes,Injuries,1.178343949044586,7.4
173,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2709163346613546,1.7
174,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.4621513944223108,2.9
176,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.11155378486055778,0.7
177,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.03187250996015937,0.2
178,Australia,2000,Noncommunicable diseases,Malignant neoplasms,5.609561752988049,35.2
179,Australia,2000,Noncommunicable diseases,Other neoplasms,0.11155378486055778,0.7
180,Australia,2000,Noncommunicable diseases,Diabetes mellitus,0.4462151394422311,2.8
181,Australia,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.2071713147410359,1.3
182,Australia,2000,Noncommunicable diseases,Mental and substance use disorders,0.30278884462151395,1.9
183,Australia,2000,Noncommunicable diseases,Neurological conditions,0.956175298804781,6.0
185,Australia,2000,Noncommunicable diseases,Cardiovascular diseases,7.601593625498009,47.7
186,Australia,2000,Noncommunicable diseases,Respiratory diseases,1.354581673306773,8.5
187,Australia,2000,Noncommunicable diseases,Digestive diseases,0.6374501992031874,4.0
188,Australia,2000,Noncommunicable diseases,Genitourinary diseases,0.4462151394422311,2.8
189,Australia,2000,Noncommunicable diseases,Skin diseases,0.03187250996015937,0.2
190,Australia,2000,Noncommunicable diseases,Musculoskeletal diseases,0.12749003984063748,0.8
191,Australia,2000,Noncommunicable diseases,Congenital anomalies,0.11155378486055778,0.7
194,Australia,2000,Injuries,Unintentional injuries,0.7330677290836654,4.6
195,Australia,2000,Injuries,Intentional injuries,0.4302788844621515,2.7
196,Austria,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.5426356589147286,2.1
197,Austria,2000,All Causes,Noncommunicable diseases,18.320413436692505,70.9
198,Austria,2000,All Causes,Injuries,1.1369509043927648,4.4
199,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.10362694300518134,0.4
200,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.38860103626943,1.5
202,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.05181347150259067,0.2
204,Austria,2000,Noncommunicable diseases,Malignant neoplasms,4.922279792746114,19.0
205,Austria,2000,Noncommunicable diseases,Other neoplasms,0.10362694300518134,0.4
206,Austria,2000,Noncommunicable diseases,Diabetes mellitus,0.310880829015544,1.2
207,Austria,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.025906735751295335,0.1
208,Austria,2000,Noncommunicable diseases,Mental and substance use disorders,0.12953367875647667,0.5
209,Austria,2000,Noncommunicable diseases,Neurological conditions,0.2849740932642487,1.1
210,Austria,2000,Noncommunicable diseases,Cardiovascular diseases,10.10362694300518,39.0
211,Austria,2000,Noncommunicable diseases,Respiratory diseases,1.16580310880829,4.5
212,Austria,2000,Noncommunicable diseases,Digestive diseases,0.9067357512953367,3.5
213,Austria,2000,Noncommunicable diseases,Genitourinary diseases,0.2849740932642487,1.1
215,Austria,2000,Noncommunicable diseases,Musculoskeletal diseases,0.025906735751295335,0.1
216,Austria,2000,Noncommunicable diseases,Congenital anomalies,0.05181347150259067,0.2
218,Austria,2000,Injuries,Unintentional injuries,0.699481865284974,2.7
219,Austria,2000,Injuries,Intentional injuries,0.4404145077720207,1.7
220,Azerbaijan,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",3.7560192616372388,11.7
221,Azerbaijan,2000,All Causes,Noncommunicable diseases,15.21669341894061,47.4
222,Azerbaijan,2000,All Causes,Injuries,1.027287319422151,3.2
223,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.348314606741573,4.2
224,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.059390048154093,3.3
225,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.03210272873194222,0.1
226,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,1.2841091492776886,4.0
227,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.03210272873194222,0.1
228,Azerbaijan,2000,Noncommunicable diseases,Malignant neoplasms,1.5409309791332262,4.8
230,Azerbaijan,2000,Noncommunicable diseases,Diabetes mellitus,0.449438202247191,1.4
231,Azerbaijan,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.19261637239165327,0.6
232,Azerbaijan,2000,Noncommunicable diseases,Mental and substance use disorders,0.09630818619582664,0.3
233,Azerbaijan,2000,Noncommunicable diseases,Neurological conditions,0.4173354735152488,1.3
234,Azerbaijan,2000,Noncommunicable diseases,Cardiovascular diseases,10.112359550561798,31.5
235,Azerbaijan,2000,Noncommunicable diseases,Respiratory diseases,0.6420545746388443,2.0
236,Azerbaijan,2000,Noncommunicable diseases,Digestive diseases,1.187800963081862,3.7
237,Azerbaijan,2000,Noncommunicable diseases,Genitourinary diseases,0.32102728731942215,1.0
240,Azerbaijan,2000,Noncommunicable diseases,Congenital anomalies,0.25682182985553775,0.8
242,Azerbaijan,2000,Injuries,Unintentional injuries,0.8667736757624399,2.7
243,Azerbaijan,2000,Injuries,Intentional injuries,0.16051364365971107,0.5
244,Bahamas,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",5.555555555555555,0.5
245,Bahamas,2000,All Causes,Noncommunicable diseases,12.222222222222223,1.1
246,Bahamas,2000,All Causes,Injuries,2.2222222222222223,0.2
247,Bahamas,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,4.705882352941177,0.4
248,Bahamas,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.1764705882352942,0.1
252,Bahamas,2000,Noncommunicable diseases,Malignant neoplasms,2.3529411764705883,0.2
254,Bahamas,2000,Noncommunicable diseases,Diabetes mellitus,1.1764705882352942,0.1
258,Bahamas,2000,Noncommunicable diseases,Cardiovascular diseases,5.88235294117647,0.5
260,Bahamas,2000,Noncommunicable diseases,Digestive diseases,1.1764705882352942,0.1
261,Bahamas,2000,Noncommunicable diseases,Genitourinary diseases,1.1764705882352942,0.1
266,Bahamas,2000,Injuries,Unintentional injuries,1.1764705882352942,0.1
267,Bahamas,2000,Injuries,Intentional injuries,1.1764705882352942,0.1
268,Bahrain,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.4285714285714288,0.2
269,Bahrain,2000,All Causes,Noncommunicable diseases,16.428571428571427,2.3
270,Bahrain,2000,All Causes,Injuries,2.142857142857143,0.3
271,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.6896551724137931,0.1
272,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.6896551724137931,0.1
274,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.6896551724137931,0.1
276,Bahrain,2000,Noncommunicable diseases,Malignant neoplasms,2.068965517241379,0.3
278,Bahrain,2000,Noncommunicable diseases,Diabetes mellitus,1.3793103448275863,0.2
281,Bahrain,2000,Noncommunicable diseases,Neurological conditions,0.6896551724137931,0.1
282,Bahrain,2000,Noncommunicable diseases,Cardiovascular diseases,6.896551724137931,1.0
283,Bahrain,2000,Noncommunicable diseases,Respiratory diseases,1.3793103448275863,0.2
284,Bahrain,2000,Noncommunicable diseases,Digestive diseases,1.3793103448275863,0.2
285,Bahrain,2000,Noncommunicable diseases,Genitourinary diseases,0.6896551724137931,0.1
288,Bahrain,2000,Noncommunicable diseases,Congenital anomalies,0.6896551724137931,0.1
290,Bahrain,2000,Injuries,Unintentional injuries,2.068965517241379,0.3
291,Bahrain,2000,Injuries,Intentional injuries,0.6896551724137931,0.1
292,Bangladesh,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",10.049624927870743,435.4
293,Bangladesh,2000,All Causes,Noncommunicable diseases,8.623196768609349,373.6
294,Bangladesh,2000,All Causes,Injuries,1.3271783035199078,57.5
295,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,4.88863242931333,211.8
296,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.6364685516445472,70.9
297,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.25389497980380843,11.0
298,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,2.8690132717830354,124.3
299,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.4016156953260242,17.4
300,Bangladesh,2000,Noncommunicable diseases,Malignant neoplasms,1.6895556837853434,73.2
302,Bangladesh,2000,Noncommunicable diseases,Diabetes mellitus,0.36699365262550493,15.9
303,Bangladesh,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.03000577034045009,1.3
304,Bangladesh,2000,Noncommunicable diseases,Mental and substance use disorders,0.0415464512406232,1.8
305,Bangladesh,2000,Noncommunicable diseases,Neurological conditions,0.2008078476630121,8.7
306,Bangladesh,2000,Noncommunicable diseases,Cardiovascular diseases,3.5222158107328334,152.6
307,Bangladesh,2000,Noncommunicable diseases,Respiratory diseases,1.2787074437391805,55.4
308,Bangladesh,2000,Noncommunicable diseases,Digestive diseases,0.8909405654933642,38.6
309,Bangladesh,2000,Noncommunicable diseases,Genitourinary diseases,0.21234852856318523,9.2
311,Bangladesh,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0207732256203116,0.9
312,Bangladesh,2000,Noncommunicable diseases,Congenital anomalies,0.3346797461050202,14.5
313,Bangladesh,2000,Noncommunicable diseases,Sudden infant death syndrome,0.0207732256203116,0.9
314,Bangladesh,2000,Injuries,Unintentional injuries,1.0594345066358914,45.9
315,Bangladesh,2000,Injuries,Intentional injuries,0.26774379688401617,11.6
316,Barbados,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",3.0769230769230766,0.4
317,Barbados,2000,All Causes,Noncommunicable diseases,16.153846153846153,2.1
318,Barbados,2000,All Causes,Injuries,0.7692307692307692,0.1
319,Barbados,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.5999999999999996,0.2
320,Barbados,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.7999999999999998,0.1
324,Barbados,2000,Noncommunicable diseases,Malignant neoplasms,4.799999999999999,0.6
326,Barbados,2000,Noncommunicable diseases,Diabetes mellitus,1.5999999999999996,0.2
329,Barbados,2000,Noncommunicable diseases,Neurological conditions,0.7999999999999998,0.1
330,Barbados,2000,Noncommunicable diseases,Cardiovascular diseases,6.399999999999999,0.8
331,Barbados,2000,Noncommunicable diseases,Respiratory diseases,0.7999999999999998,0.1
332,Barbados,2000,Noncommunicable diseases,Digestive diseases,0.7999999999999998,0.1
333,Barbados,2000,Noncommunicable diseases,Genitourinary diseases,0.7999999999999998,0.1
334,Barbados,2000,Noncommunicable diseases,Skin diseases,0.7999999999999998,0.1
338,Barbados,2000,Injuries,Unintentional injuries,0.7999999999999998,0.1
340,Belarus,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.46581517655897825,3.1
341,Belarus,2000,All Causes,Noncommunicable diseases,17.4755822689707,116.3
342,Belarus,2000,All Causes,Injuries,2.058602554470323,13.7
343,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.18018018018018017,1.2
344,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.22522522522522523,1.5
346,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.060060060060060066,0.4
348,Belarus,2000,Noncommunicable diseases,Malignant neoplasms,3.213213213213213,21.4
350,Belarus,2000,Noncommunicable diseases,Diabetes mellitus,0.1051051051051051,0.7
352,Belarus,2000,Noncommunicable diseases,Mental and substance use disorders,0.48048048048048053,3.2
353,Belarus,2000,Noncommunicable diseases,Neurological conditions,0.46546546546546547,3.1
354,Belarus,2000,Noncommunicable diseases,Cardiovascular diseases,11.636636636636636,77.5
355,Belarus,2000,Noncommunicable diseases,Respiratory diseases,0.8408408408408408,5.6
356,Belarus,2000,Noncommunicable diseases,Digestive diseases,0.4954954954954955,3.3
357,Belarus,2000,Noncommunicable diseases,Genitourinary diseases,0.13513513513513514,0.9
360,Belarus,2000,Noncommunicable diseases,Congenital anomalies,0.07507507507507508,0.5
362,Belarus,2000,Injuries,Unintentional injuries,1.2462462462462465,8.3
363,Belarus,2000,Injuries,Intentional injuries,0.8108108108108109,5.4
364,Belgium,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.4962121212121213,7.9
365,Belgium,2000,All Causes,Noncommunicable diseases,17.196969696969695,90.8
366,Belgium,2000,All Causes,Injuries,1.3068181818181819,6.9
367,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.4166666666666667,2.2
368,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.9848484848484849,5.2
370,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.03787878787878788,0.2
371,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.056818181818181816,0.3
372,Belgium,2000,Noncommunicable diseases,Malignant neoplasms,5.170454545454546,27.3
373,Belgium,2000,Noncommunicable diseases,Other neoplasms,0.13257575757575757,0.7
374,Belgium,2000,Noncommunicable diseases,Diabetes mellitus,0.26515151515151514,1.4
375,Belgium,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1893939393939394,1.0
376,Belgium,2000,Noncommunicable diseases,Mental and substance use disorders,0.11363636363636363,0.6
377,Belgium,2000,Noncommunicable diseases,Neurological conditions,1.0227272727272727,5.4
379,Belgium,2000,Noncommunicable diseases,Cardiovascular diseases,7.121212121212121,37.6
380,Belgium,2000,Noncommunicable diseases,Respiratory diseases,1.7045454545454546,9.0
381,Belgium,2000,Noncommunicable diseases,Digestive diseases,0.8901515151515151,4.7
382,Belgium,2000,Noncommunicable diseases,Genitourinary diseases,0.32196969696969696,1.7
383,Belgium,2000,Noncommunicable diseases,Skin diseases,0.0946969696969697,0.5
384,Belgium,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0946969696969697,0.5
385,Belgium,2000,Noncommunicable diseases,Congenital anomalies,0.056818181818181816,0.3
388,Belgium,2000,Injuries,Unintentional injuries,0.8333333333333334,4.4
389,Belgium,2000,Injuries,Intentional injuries,0.4734848484848485,2.5
390,Belize,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",4.615384615384615,0.3
391,Belize,2000,All Causes,Noncommunicable diseases,12.307692307692307,0.8
392,Belize,2000,All Causes,Injuries,3.0769230769230766,0.2
393,Belize,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.5384615384615383,0.1
394,Belize,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.5384615384615383,0.1
396,Belize,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,1.5384615384615383,0.1
398,Belize,2000,Noncommunicable diseases,Malignant neoplasms,1.5384615384615383,0.1
400,Belize,2000,Noncommunicable diseases,Diabetes mellitus,1.5384615384615383,0.1
404,Belize,2000,Noncommunicable diseases,Cardiovascular diseases,4.615384615384615,0.3
406,Belize,2000,Noncommunicable diseases,Digestive diseases,1.5384615384615383,0.1
407,Belize,2000,Noncommunicable diseases,Genitourinary diseases,1.5384615384615383,0.1
412,Belize,2000,Injuries,Unintentional injuries,3.0769230769230766,0.2
413,Belize,2000,Injuries,Intentional injuries,1.5384615384615383,0.1
414,Benin,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",12.702702702702702,51.7
415,Benin,2000,All Causes,Noncommunicable diseases,5.847665847665847,23.8
416,Benin,2000,All Causes,Injuries,1.4496314496314495,5.9
417,Benin,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,7.142857142857143,29.0
418,Benin,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,2.4137931034482762,9.8
