Country,Year,65-69 years,70-74 years,85+ years,80-84 years,75-79 years,60-64 years,45-49 years,55-59 years,15-19  years,10-14 years,5-9 years,30-34 years,35-39 years,<1 year,50-54 years,20-24 years,40-44 years,1-4 years,25-29 years
United Kingdom of Great Britain and Northern Ireland,2019,4841,7626,49758,16216,11163,3431,1007,2189,97.06,41.23,35.13,292.8,423.8,380.6,1385,156.2,690.9,58.65,207.2
Thailand,2019,5867,8202,42847,14216,11144,4080,1742,2888,435.6,252.9,162.3,1008,1214,764.2,2243,586.2,1438,128,783.3
Belarus,2019,9164,11107,27803,15843,13987,6875,2365,4941,151.4,64.81,59.23,637.4,1009,286.5,3406,214.2,1637,79.43,370.3
Lebanon,2019,8004,11555,31511,17007,14990,5608,1429,3714,272.8,95.99,88.97,433.3,586.1,643.3,2329,367.6,888.7,101.2,375.7
South Sudan,2019,8843,11607,16299,12505,13001,6806,2883,4898,534.7,668.6,1223,1360,1792,6339,3768,749.9,2285,3425,1013
Trinidad and Tobago,2019,6452,8634,37984,15345,11523,5016,1683,3278,511.9,141.1,93.6,921.1,1013,1572,2650,926.7,1324,188.6,742.1
Switzerland,2019,4066,6249,57261,15593,9271,2715,583.5,1675,88.31,36.13,30.18,159.8,242.9,346.4,1014,124.5,356.6,43.19,144.2
Sudan,2019,9031,12372,21012,15478,14954,6544,2008,4321,366.8,269.6,510.1,772.1,1016,4104,2981,501.7,1424,1732,603
Ukraine,2019,8857,11168,25193,15122,14259,6746,2884,4927,243.3,93.74,75.83,1017,1542,775.6,3771,375.1,2223,119.2,606.8
Qatar,2019,6004,12117,17025,35566,20253,3024,715.4,1756,233.5,69.78,68.01,245.2,353,559.6,1018,269.2,395.2,88.25,240.2
United States of America,2019,6001,8583,43163,14583,11250,4616,1440,3508,236.6,75.73,60.58,723.5,863.9,549.3,2222,443.6,1018,90.29,572.5
Tonga,2019,9488,12020,24386,15004,14103,7058,2400,5302,326.8,80.94,153.1,740,1029,1449,3572,491.1,1599,240.4,557.8
France,2019,4643,6279,56032,13575,8614,3633,978,2544,103.1,39.65,34.04,258.8,371.6,390.6,1485,163,579.7,68.78,208.7
Cabo Verde,2019,8472,11295,26034,17930,15143,6029,2053,4253,358.9,103.2,85.38,615,870.2,1296,2985,463.1,1316,208.1,489.8
Brunei Darussalam,2019,7914,12236,24274,17896,19050,5198,1870,3932,152.4,109.3,129.6,527.6,873.8,1039,2609,323,1188,181.8,497.1
Georgia,2019,8979,11107,22974,16784,16906,7016,2342,5107,290.5,126.1,112.8,587.1,961.1,893,3435,383.9,1441,104.9,448.5
Chile,2019,5084,8613,47798,15202,11426,3375,1043,2483,200.5,78.91,62.08,391.5,491.2,632.5,1655,290.7,727.2,99.6,345.3
Kenya,2019,9155,11553,16618,13054,13116,7388,3915,5835,622.8,434.4,508.9,1486,2168,3281,4849,815.4,3010,1143,1047
Albania,2019,4250,8403,33443,27474,15423,3490,887.4,2085,235.7,105,93.82,158,307.9,883.9,1561,212,664.8,107.6,215.5
Maldives,2019,5614,12333,38745,19254,14263,3487,690.5,2366,219.2,105,78.72,208.5,247.9,678.1,949.2,154,304.5,107.9,194.9
Sri Lanka,2019,6235,12207,29314,18517,18131,5036,1334,3369,325.3,91.29,74.45,425.3,482.5,600.4,2200,422.6,728.1,105.4,401.7
Belize,2019,7091,9339,33865,14370,11912,5636,2230,4334,478.9,147.3,118.3,1330,1344,1054,3050,805.7,1609,170.2,1115
Eswatini,2019,8779,9155,8179,7934,9153,8496,6843,8170,1060,380.1,875.1,3511,4703,3766,7980,1679,5858,1099,2380
Vanuatu,2019,11132,12618,11300,11796,13056,9462,4285,7430,605.1,240.2,289.7,1687,2267,2171,5710,1064,3149,423.8,1315
United Arab Emirates,2019,8466,12305,29001,17519,16180,5828,1314,3536,227.1,98.41,91.74,422.4,543.2,679.2,2139,351.1,814.1,107,378.6
Slovakia,2019,6779,9118,36329,19370,12958,5373,1380,3634,160.1,66.33,58.77,302.4,508.9,459.9,2206,221.6,713.2,107.4,254.8
Costa Rica,2019,4432,6703,51926,14232,9697,3736,1137,2176,283.6,97.38,71.29,547.3,683.6,759.8,1473,526.2,860.7,107.8,551.4
Mexico,2019,7351,9480,34911,16314,12628,5051,1737,3652,348.1,142,107.8,763.7,974.3,1228,2551,556,1331,197.1,676.1
Bhutan,2019,8612,12448,24379,17790,16060,5866,1606,3804,300,447,234.6,556,739.3,2285,2498,382.6,1072,469.5,452.2
Suriname,2019,8619,12311,21004,16768,14303,7402,2384,6538,386.5,164.8,123.6,1209,1072,1620,3102,402.7,1485,192.3,912.6
Iceland,2019,4062,6884,51404,18063,11168,2614,642.9,1916,144.9,40.39,31.91,401.5,443.2,167.1,1076,167.4,458.8,68.34,245.1
Colombia,2019,4832,7706,46050,15679,12355,3399,997.2,2297,432.1,136.9,108.1,633.6,656.3,1130,1431,605.1,778.6,188.3,584
Cyprus,2019,4039,6756,54911,17275,9843,2647,588.3,1556,73.95,40.03,47.8,174.6,233.3,184.6,952.6,133,391.2,45.16,108.3
Bahamas,2019,7743,9619,30713,14413,12172,5794,2599,4353,473.8,138.7,108.7,1400,1755,989.7,3427,872.2,2111,175.8,1141
Morocco,2019,9674,13138,23006,16473,15793,6892,1787,4544,306.2,95.55,156.3,487.5,689.6,1917,2880,374.5,1085,304,396.1
El Salvador,2019,6511,9271,38072,14542,9962,4748,2021,3642,650.4,207.7,109.8,1252,1675,1135,2666,779.2,1757,188.1,810.7
Saudi Arabia,2019,8494,11129,28235,15686,13928,6493,2269,4701,270.5,89.81,82.81,822.1,1090,582.6,3326,505.9,1559,97.11,640.3
Nigeria,2019,8415,11341,17592,12919,13103,6348,2562,4495,426.3,688.6,1196,1091,1508,7392,3395,573.6,1982,4185,789.1
Malawi,2019,9699,11915,15556,12341,12914,7893,3819,6150,620.5,435,727.3,1526,2118,3175,5056,896.2,2956,1092,1112
Czechia,2019,6888,9653,40279,17072,13004,4827,1093,2881,155.7,46.4,39.27,311,444.2,239.9,1842,245.7,659.9,65.14,254.4
Egypt,2019,11959,12452,20894,14792,14672,8393,1751,5671,369.8,203,218.3,559.1,748.9,1781,3339,396,1095,282.7,424.5
Guatemala,2019,8736,8993,29924,13875,11961,5892,2310,5043,676.4,200.7,157.4,1111,1420,2047,3453,965,1762,377.1,1095
Peru,2019,5136,7466,48580,14439,11016,3473,1161,2352,259.8,143.9,136.3,551.1,668,953.7,1641,385.1,865.1,298.2,476.3
Slovenia,2019,5835,7818,48962,15579,11038,3984,851.4,2445,114,40.06,30.89,291.6,402.7,171.7,1471,173,510.9,41.29,239.3
Ireland,2019,4586,7348,50873,17214,11099,2829,803.4,2010,64.8,32.14,28.54,268.8,310.7,297.8,1289,199.9,465.2,44.59,236.2
Netherlands,2019,5080,7545,50158,16809,11102,3387,747.7,2082,99.61,38.19,31.27,211.8,289.7,349.8,1250,129,466.4,58,165
Ecuador,2019,6077,7878,44251,16262,11138,3735,1144,2615,334.6,183.9,140.8,581.3,739.3,1193,1724,498.7,818.4,194.8,492.7
Guyana,2019,8124,16269,11192,18784,6523,9528,3147,6194,733.5,275.5,195.8,1398,2190,2533,5666,1405,3277,487.3,2079
Namibia,2019,9003,11210,14744,12045,12525,7514,4626,6370,773.1,495.5,571.2,1795,2655,3076,5665,936.1,3681,1122,1195
Denmark,2019,5567,7769,48490,16977,11230,3795,771.9,2371,82.32,30.08,28.03,202.1,294.5,306.5,1328,115.5,444.5,52.71,144
Azerbaijan,2019,11246,14290,15422,18268,17523,7523,1842,4835,276.3,141.6,157.2,535.1,763.1,1955,3007,400.7,1176,217.2,422.3
Guinea,2019,9702,11812,12724,11301,12121,8023,3368,5970,672.1,575.1,1128,1510,1969,6309,4615,931.5,2663,3437,1170
Cameroon,2019,9268,11399,14298,11581,12153,7596,3801,5804,649.5,751.6,1317,1635,2269,5096,4794,902,3042,2468,1176
Republic of Moldova,2019,11447,9631,22940,16539,15982,7089,2374,4993,206.4,147,117.9,556.1,907.4,1308,3319,261.5,1628,201.7,353.1
Turkmenistan,2019,11574,13536,22429,11460,12321,6956,2591,5550,429.8,177.3,174.2,858.4,1185,3932,3502,448.4,1755,562,561.2
Fiji,2019,11475,13638,14125,13125,13785,9730,3178,6953,444,269.2,198.9,852.9,1286,2211,5020,627.2,1950,415.3,716.2
Uzbekistan,2019,11516,12568,19081,17974,17504,6074,1862,4699,356.1,189.4,180.5,568.9,863.9,1540,2800,403.9,1195,185.1,440.1
Serbia,2019,9038,11539,26976,19130,15313,6508,1489,4255,138.3,69.04,49.54,388.2,570.9,443.5,2718,190.6,868.9,68.68,246.8
Sierra Leone,2019,9318,11611,13866,11563,12140,7544,3083,5488,624.3,702.1,1215,1426,1846,8073,4232,863.5,2460,2843,1104
Liberia,2019,9131,11661,16857,12885,12795,7235,2941,5184,526.2,689.6,743.8,1265,1683,6212,3954,760.6,2290,2223,964.7
Angola,2019,9667,11696,14465,11869,12400,7849,3481,5904,585.5,566.9,955.9,1582,2084,5120,4578,873.8,2752,2419,1151
Venezuela (Bolivarian Republic of),2019,6479,8542,34431,16493,11735,5797,1490,3375,837.9,193.3,142.8,998.2,1112,2524,2197,1258,1108,333.8,954.2
Mongolia,2019,11743,12496,15260,12706,12791,9278,3792,6963,355.1,177.5,159.3,1286,1792,1391,5390,664.6,2616,216.1,926
Kuwait,2019,5514,8013,47736,16227,11752,3628,840.6,2236,171.9,97.84,85.14,268.1,336.6,668.8,1363,218.4,502.3,111.8,228.6
Poland,2019,7448,9283,39686,15324,11767,5579,1504,3811,153.8,58.17,42.32,432.5,602.4,360.9,2405,267.7,893.7,62.93,319.2
Viet Nam,2019,8691,11779,26444,16806,14862,6209,1905,4306,349.1,146.6,99.72,558.5,779.2,1560,2944,469.4,1206,412.4,473.5
Nicaragua,2019,8279,11814,28474,17646,15393,5699,1512,3698,307.5,197.9,131.6,455.3,617.2,1441,2381,391.1,936.8,234.4,392.1
Mauritania,2019,8637,11837,22156,15182,14117,6360,1932,4158,368.9,219,459.4,795,996.9,5068,2883,544,1400,2239,647.3
Djibouti,2019,9193,11860,16971,13377,13383,7215,3350,5344,571,475.6,735.9,1354,1906,4854,4222,758.1,2602,858.2,970
Côte d’Ivoire,2019,9573,11907,14620,11954,12670,7712,3291,5724,611.6,958.7,1320,1268,1739,5858,4465,804.5,2472,2072,978.8
Mali,2019,9209,11941,15556,12492,12999,7161,2796,5098,591.6,761.4,1257,1260,1638,6076,3852,795.1,2151,3368,999.6
United Republic of Tanzania,2019,9180,11999,18780,13877,13758,7083,2903,5088,520.3,325.4,755.6,1229,1642,3625,3924,715.6,2228,1442,925.2
Benin,2019,9504,12034,15715,12563,13131,7449,2729,5279,541.1,647.8,1140,1100,1460,5993,3940,717.2,2049,3135,872.3
Algeria,2019,5698,8345,39302,18876,13238,3980,1107,2447,245.7,163.4,163.6,441.4,572.4,1955,1659,338.9,775.8,328.3,364.2
Iran (Islamic Republic of),2019,6451,9510,36527,17855,14781,4392,1107,2809,373.4,173.3,167.2,488.8,581.1,1137,1767,461,772.7,194.2,453.3
Japan,2019,4300,5452,59197,14461,8971,2532,694.2,1623,93.89,39.16,35.48,210.9,280.3,187.9,1114,159.6,417.8,65.74,165.7
Spain,2019,4440,6116,55796,15176,9725,3123,722.9,2114,70.56,37.64,32.94,163.8,235.5,261.3,1316,113.8,370.5,50.65,135.3
Haiti,2019,9978,12094,14061,12100,12739,8209,3591,6176,643.7,431.6,587,1464,1969,4885,4803,908.5,2748,1478,1133
Italy,2019,4336,6748,54914,16099,9883,2797,681.8,1802,88.09,48.07,37.49,167.9,259.1,276.3,1134,130.2,413.2,45.04,139.8
Niger,2019,9694,12315,15066,12443,13198,7537,2693,5321,560.9,1342,1439,1139,1476,4770,3892,749.7,2014,3427,922.7
Pakistan,2019,9998,12508,16040,13151,13406,7955,2794,5626,543.7,362.7,422.4,1139,1464,5530,4082,795.3,2086,1162,934.7
Malaysia,2019,9126,13041,26539,15937,15594,6255,1738,4215,317.8,144,115.7,608.5,816,720.6,2679,425.9,1143,122.1,461.7
Bahrain,2019,7654,12868,21728,22044,22132,4897,1166,2553,261.8,83.49,93.47,400.7,584.2,657.7,1576,353.4,575.7,96.57,276.4
Paraguay,2019,7255,9853,35837,14892,12607,5360,1688,3625,369.2,193.8,81.26,668.9,829,1614,2563,544.2,1169,275.3,573.9
Croatia,2019,7084,9420,36710,18530,14133,5214,1170,3362,118.8,54.59,50.09,259.3,404.6,414.5,1991,190.6,619.6,73.26,200.9
Comoros,2019,9431,12333,19183,14267,13955,7190,2304,4877,446.7,255.8,539.7,923,1181,5019,3452,646.6,1685,1555,754.7
India,2019,9177,12034,21886,16249,14223,6757,2148,4877,402.1,261,269.3,895.6,1183,2779,3388,620.5,1537,604.1,709.6
Myanmar,2019,9579,12765,19122,15009,14812,7190,2418,5022,458.6,223,238.5,886.1,1190,3542,3587,632.8,1697,918.7,711.9
Democratic People's Republic of Korea,2019,9429,12015,25011,14658,14008,7250,2268,5141,386.4,181.7,200.7,715.7,966.2,1271,3472,548.7,1456,426.9,594.8
Bosnia and Herzegovina,2019,7852,12069,29073,19245,16382,5396,1298,3630,156.5,67.01,51.88,315.5,446.9,544.7,2179,243.3,731.6,80.88,237.7
Togo,2019,9830,12082,14830,12294,12895,7963,3415,5938,634.4,527.1,672.8,1313,1816,4627,4624,842,2581,2115,999.8
Montenegro,2019,9147,12128,26743,18496,15792,6295,1491,4273,135.1,42.64,52.17,394.5,598,196.9,2687,294.8,872.4,28.92,330.9
Syrian Arab Republic,2019,9036,12137,23297,18550,15514,6575,1613,4058,325.7,537.7,455.7,510.2,645.4,1889,2649,365.8,943.3,454.6,442.8
Uganda,2019,9532,12146,17199,13263,13620,7482,3131,5557,619.6,517.5,819.4,1329,1769,3316,4299,787.4,2402,1220,992.6
Iraq,2019,9202,12275,24894,15432,14596,6687,2038,4529,358.4,183.7,197.2,662.6,854.9,2294,3063,545.3,1225,400.9,561.6
Ethiopia,2019,9112,12296,20058,14918,14680,6732,2420,4655,459.1,475.7,545.2,902.3,1229,3655,3408,587.1,1751,1405,711.8
Brazil,2019,6890,9556,37161,14809,12305,4984,1696,3469,623.2,136.4,96.25,761.8,959.4,1229,2393,818.4,1217,149.6,745.1
Ghana,2019,9934,12372,15934,13038,13401,7923,3335,5847,593.9,447.7,570.7,1315,1816,3427,4502,811.1,2533,1214,986.2
Senegal,2019,9526,12451,19460,14496,14187,7260,2477,4984,466.6,436.3,546.8,991.4,1296,3302,3603,665.8,1834,1230,787.2
Rwanda,2019,9639,12467,19010,14638,14372,7419,2675,5318,469.6,448.4,476.4,981.1,1329,2601,3940,659.1,1950,842.7,763.2
South Africa,2019,7710,8658,20820,12668,9890,6356,4238,5305,709,283.5,242.8,3262,3797,2809,4787,1373,4120,688.3,2284
Honduras,2019,9913,12795,21646,15236,15006,7458,2323,5284,373.8,246.2,185.6,724.2,988.9,1420,3554,518.7,1495,242.2,589.2
The former Yugoslav Republic of Macedonia,2019,9007,12940,19272,22760,18485,6382,1495,4311,163.1,75.29,57.37,316.7,458.1,547,2413,163.3,803.5,77.47,273.2
Central African Republic,2019,9751,9517,4635,5933,8176,9678,6598,8958,1226,481.5,782.6,2666,3743,8333,7838,1608,5140,2922,2013
Bolivia (Plurinational State of),2019,9538,13053,21779,16677,15989,6686,1887,4389,342.5,181.5,220.4,628.2,850.2,2167,2914,456.1,1246,484.5,511.1
Australia,2019,3945,6144,56159,15081,9698,2712,854.7,1885,144.3,41.85,36.67,287.6,413.3,289.1,1252,194.7,592.8,53.1,215.4
Lesotho,2019,7542,7408,4098,5000,6544,7707,8673,7949,1389,327.6,464.9,5199,6911,6724,8308,2214,8102,1942,3497
Jordan,2019,7224,9932,37496,17380,14501,4390,973.7,2600,173.9,162.4,173.8,301.1,397.1,1414,1615,215.6,599.3,210.8,240.6
Gabon,2015,10007,11917,14704,12238,12936,8086,3743,6205,575.9,683.6,577.2,1533,2132,3576,4854,841.1,2866,1427,1097
Zimbabwe,2015,9435,10189,8425,8480,10015,8593,6378,7679,974.2,660.6,587.3,2838,4059,4072,7111,1399,5279,1923,1905
Albania,2015,5699,10016,33912,22799,15651,3710,1020,2234,232.7,117.8,113.6,293.1,431,772.6,1607,272.1,701.5,112.1,305.7
Saint Vincent and the Grenadines,2015,8855,10019,27955,15256,12449,5780,2697,4764,461.5,300.5,169,1149,1495,1410,3444,808.3,1918,156.2,913.9
Ghana,2015,10026,12162,14107,12214,12899,8156,3669,6134,672.3,481.1,651,1549,2114,3837,4831,908.7,2870,1577,1141
Barbados,2015,7144,10052,35393,16511,12961,5075,1716,3416,295,128.4,62.92,643.4,879.7,1335,2312,398.7,1063,102.8,509.2
