,Country,Year,source,target,value
129,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,14.4
130,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,11.3
131,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.5
132,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,5.8
133,Argentina,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,2.1
135,Argentina,2000,Noncommunicable diseases,Malignant neoplasms,57.3
136,Argentina,2000,Noncommunicable diseases,Other neoplasms,2.3
137,Argentina,2000,Noncommunicable diseases,Diabetes mellitus,6.8
138,Argentina,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",2.7
139,Argentina,2000,Noncommunicable diseases,Mental and substance use disorders,1.4
140,Argentina,2000,Noncommunicable diseases,Neurological conditions,4.8
141,Argentina,2000,Noncommunicable diseases,Sense organ diseases,0.0
142,Argentina,2000,Noncommunicable diseases,Cardiovascular diseases,90.0
143,Argentina,2000,Noncommunicable diseases,Respiratory diseases,30.8
144,Argentina,2000,Noncommunicable diseases,Digestive diseases,11.8
145,Argentina,2000,Noncommunicable diseases,Genitourinary diseases,10.5
146,Argentina,2000,Noncommunicable diseases,Skin diseases,0.5
147,Argentina,2000,Noncommunicable diseases,Musculoskeletal diseases,0.6
148,Argentina,2000,Noncommunicable diseases,Congenital anomalies,3.7
149,Argentina,2000,Noncommunicable diseases,Oral conditions,0.0
150,Armenia,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",1.3
151,Armenia,2000,All Causes,Noncommunicable diseases,21.9
152,Armenia,2000,All Causes,Injuries,1.4
154,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.3
155,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.4
156,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
157,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.5
158,Armenia,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
160,Armenia,2000,Noncommunicable diseases,Malignant neoplasms,4.0
161,Armenia,2000,Noncommunicable diseases,Other neoplasms,0.0
162,Armenia,2000,Noncommunicable diseases,Diabetes mellitus,1.2
163,Armenia,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
164,Armenia,2000,Noncommunicable diseases,Mental and substance use disorders,0.0
165,Armenia,2000,Noncommunicable diseases,Neurological conditions,0.2
166,Armenia,2000,Noncommunicable diseases,Sense organ diseases,0.0
167,Armenia,2000,Noncommunicable diseases,Cardiovascular diseases,13.7
168,Armenia,2000,Noncommunicable diseases,Respiratory diseases,1.2
169,Armenia,2000,Noncommunicable diseases,Digestive diseases,0.8
170,Armenia,2000,Noncommunicable diseases,Genitourinary diseases,0.4
171,Armenia,2000,Noncommunicable diseases,Skin diseases,0.0
172,Armenia,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
173,Armenia,2000,Noncommunicable diseases,Congenital anomalies,0.2
174,Armenia,2000,Noncommunicable diseases,Oral conditions,0.0
175,Australia,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",5.5
176,Australia,2000,All Causes,Noncommunicable diseases,112.7
177,Australia,2000,All Causes,Injuries,7.4
179,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.7
180,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,2.9
181,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
182,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.7
183,Australia,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.2
185,Australia,2000,Noncommunicable diseases,Malignant neoplasms,35.2
186,Australia,2000,Noncommunicable diseases,Other neoplasms,0.7
187,Australia,2000,Noncommunicable diseases,Diabetes mellitus,2.8
188,Australia,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
189,Australia,2000,Noncommunicable diseases,Mental and substance use disorders,1.9
190,Australia,2000,Noncommunicable diseases,Neurological conditions,6.0
191,Australia,2000,Noncommunicable diseases,Sense organ diseases,0.0
192,Australia,2000,Noncommunicable diseases,Cardiovascular diseases,47.7
193,Australia,2000,Noncommunicable diseases,Respiratory diseases,8.5
194,Australia,2000,Noncommunicable diseases,Digestive diseases,4.0
195,Australia,2000,Noncommunicable diseases,Genitourinary diseases,2.8
196,Australia,2000,Noncommunicable diseases,Skin diseases,0.2
197,Australia,2000,Noncommunicable diseases,Musculoskeletal diseases,0.8
198,Australia,2000,Noncommunicable diseases,Congenital anomalies,0.7
199,Australia,2000,Noncommunicable diseases,Oral conditions,0.0
200,Austria,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",2.1
201,Austria,2000,All Causes,Noncommunicable diseases,70.9
202,Austria,2000,All Causes,Injuries,4.4
204,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.4
205,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.5
206,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
207,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
208,Austria,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
210,Austria,2000,Noncommunicable diseases,Malignant neoplasms,19.0
211,Austria,2000,Noncommunicable diseases,Other neoplasms,0.4
212,Austria,2000,Noncommunicable diseases,Diabetes mellitus,1.2
213,Austria,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
214,Austria,2000,Noncommunicable diseases,Mental and substance use disorders,0.5
215,Austria,2000,Noncommunicable diseases,Neurological conditions,1.1
216,Austria,2000,Noncommunicable diseases,Sense organ diseases,0.0
217,Austria,2000,Noncommunicable diseases,Cardiovascular diseases,39.0
218,Austria,2000,Noncommunicable diseases,Respiratory diseases,4.5
219,Austria,2000,Noncommunicable diseases,Digestive diseases,3.5
220,Austria,2000,Noncommunicable diseases,Genitourinary diseases,1.1
221,Austria,2000,Noncommunicable diseases,Skin diseases,0.0
222,Austria,2000,Noncommunicable diseases,Musculoskeletal diseases,0.1
223,Austria,2000,Noncommunicable diseases,Congenital anomalies,0.2
224,Austria,2000,Noncommunicable diseases,Oral conditions,0.0
225,Azerbaijan,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",11.7
226,Azerbaijan,2000,All Causes,Noncommunicable diseases,47.4
227,Azerbaijan,2000,All Causes,Injuries,3.2
229,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,4.2
230,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,3.3
231,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.1
232,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,4.0
233,Azerbaijan,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.1
235,Azerbaijan,2000,Noncommunicable diseases,Malignant neoplasms,4.8
236,Azerbaijan,2000,Noncommunicable diseases,Other neoplasms,0.0
237,Azerbaijan,2000,Noncommunicable diseases,Diabetes mellitus,1.4
238,Azerbaijan,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.6
239,Azerbaijan,2000,Noncommunicable diseases,Mental and substance use disorders,0.3
240,Azerbaijan,2000,Noncommunicable diseases,Neurological conditions,1.3
241,Azerbaijan,2000,Noncommunicable diseases,Sense organ diseases,0.0
242,Azerbaijan,2000,Noncommunicable diseases,Cardiovascular diseases,31.5
243,Azerbaijan,2000,Noncommunicable diseases,Respiratory diseases,2.0
244,Azerbaijan,2000,Noncommunicable diseases,Digestive diseases,3.7
245,Azerbaijan,2000,Noncommunicable diseases,Genitourinary diseases,1.0
246,Azerbaijan,2000,Noncommunicable diseases,Skin diseases,0.0
247,Azerbaijan,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
248,Azerbaijan,2000,Noncommunicable diseases,Congenital anomalies,0.8
249,Azerbaijan,2000,Noncommunicable diseases,Oral conditions,0.0
250,Bahamas,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.5
251,Bahamas,2000,All Causes,Noncommunicable diseases,1.1
252,Bahamas,2000,All Causes,Injuries,0.2
254,Bahamas,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.4
255,Bahamas,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
256,Bahamas,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
257,Bahamas,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
258,Bahamas,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
260,Bahamas,2000,Noncommunicable diseases,Malignant neoplasms,0.2
261,Bahamas,2000,Noncommunicable diseases,Other neoplasms,0.0
262,Bahamas,2000,Noncommunicable diseases,Diabetes mellitus,0.1
263,Bahamas,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
264,Bahamas,2000,Noncommunicable diseases,Mental and substance use disorders,0.0
265,Bahamas,2000,Noncommunicable diseases,Neurological conditions,0.0
266,Bahamas,2000,Noncommunicable diseases,Sense organ diseases,0.0
267,Bahamas,2000,Noncommunicable diseases,Cardiovascular diseases,0.5
268,Bahamas,2000,Noncommunicable diseases,Respiratory diseases,0.0
269,Bahamas,2000,Noncommunicable diseases,Digestive diseases,0.1
270,Bahamas,2000,Noncommunicable diseases,Genitourinary diseases,0.1
271,Bahamas,2000,Noncommunicable diseases,Skin diseases,0.0
272,Bahamas,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
273,Bahamas,2000,Noncommunicable diseases,Congenital anomalies,0.0
274,Bahamas,2000,Noncommunicable diseases,Oral conditions,0.0
275,Bahrain,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.2
276,Bahrain,2000,All Causes,Noncommunicable diseases,2.3
277,Bahrain,2000,All Causes,Injuries,0.3
279,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.1
280,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
281,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
282,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.1
283,Bahrain,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
285,Bahrain,2000,Noncommunicable diseases,Malignant neoplasms,0.3
286,Bahrain,2000,Noncommunicable diseases,Other neoplasms,0.0
287,Bahrain,2000,Noncommunicable diseases,Diabetes mellitus,0.2
288,Bahrain,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
289,Bahrain,2000,Noncommunicable diseases,Mental and substance use disorders,0.0
290,Bahrain,2000,Noncommunicable diseases,Neurological conditions,0.1
291,Bahrain,2000,Noncommunicable diseases,Sense organ diseases,0.0
292,Bahrain,2000,Noncommunicable diseases,Cardiovascular diseases,1.0
293,Bahrain,2000,Noncommunicable diseases,Respiratory diseases,0.2
294,Bahrain,2000,Noncommunicable diseases,Digestive diseases,0.2
295,Bahrain,2000,Noncommunicable diseases,Genitourinary diseases,0.1
296,Bahrain,2000,Noncommunicable diseases,Skin diseases,0.0
297,Bahrain,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
298,Bahrain,2000,Noncommunicable diseases,Congenital anomalies,0.1
299,Bahrain,2000,Noncommunicable diseases,Oral conditions,0.0
300,Bangladesh,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",435.4
301,Bangladesh,2000,All Causes,Noncommunicable diseases,373.6
302,Bangladesh,2000,All Causes,Injuries,57.5
304,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,211.8
305,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,70.9
306,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,11.0
307,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,124.3
308,Bangladesh,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,17.4
310,Bangladesh,2000,Noncommunicable diseases,Malignant neoplasms,73.2
311,Bangladesh,2000,Noncommunicable diseases,Other neoplasms,0.1
312,Bangladesh,2000,Noncommunicable diseases,Diabetes mellitus,15.9
313,Bangladesh,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.3
314,Bangladesh,2000,Noncommunicable diseases,Mental and substance use disorders,1.8
315,Bangladesh,2000,Noncommunicable diseases,Neurological conditions,8.7
316,Bangladesh,2000,Noncommunicable diseases,Sense organ diseases,0.0
317,Bangladesh,2000,Noncommunicable diseases,Cardiovascular diseases,152.6
318,Bangladesh,2000,Noncommunicable diseases,Respiratory diseases,55.4
319,Bangladesh,2000,Noncommunicable diseases,Digestive diseases,38.6
320,Bangladesh,2000,Noncommunicable diseases,Genitourinary diseases,9.2
321,Bangladesh,2000,Noncommunicable diseases,Skin diseases,0.5
322,Bangladesh,2000,Noncommunicable diseases,Musculoskeletal diseases,0.9
323,Bangladesh,2000,Noncommunicable diseases,Congenital anomalies,14.5
324,Bangladesh,2000,Noncommunicable diseases,Oral conditions,0.0
325,Barbados,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.4
326,Barbados,2000,All Causes,Noncommunicable diseases,2.1
327,Barbados,2000,All Causes,Injuries,0.1
329,Barbados,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,0.2
330,Barbados,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,0.1
331,Barbados,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
332,Barbados,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.0
333,Barbados,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.0
335,Barbados,2000,Noncommunicable diseases,Malignant neoplasms,0.6
336,Barbados,2000,Noncommunicable diseases,Other neoplasms,0.0
337,Barbados,2000,Noncommunicable diseases,Diabetes mellitus,0.2
338,Barbados,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.0
339,Barbados,2000,Noncommunicable diseases,Mental and substance use disorders,0.0
340,Barbados,2000,Noncommunicable diseases,Neurological conditions,0.1
341,Barbados,2000,Noncommunicable diseases,Sense organ diseases,0.0
342,Barbados,2000,Noncommunicable diseases,Cardiovascular diseases,0.8
343,Barbados,2000,Noncommunicable diseases,Respiratory diseases,0.1
344,Barbados,2000,Noncommunicable diseases,Digestive diseases,0.1
345,Barbados,2000,Noncommunicable diseases,Genitourinary diseases,0.1
346,Barbados,2000,Noncommunicable diseases,Skin diseases,0.1
347,Barbados,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
348,Barbados,2000,Noncommunicable diseases,Congenital anomalies,0.0
349,Barbados,2000,Noncommunicable diseases,Oral conditions,0.0
350,Belarus,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",3.1
351,Belarus,2000,All Causes,Noncommunicable diseases,116.3
352,Belarus,2000,All Causes,Injuries,13.7
354,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,1.2
355,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,1.5
356,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
357,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.4
358,Belarus,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.1
360,Belarus,2000,Noncommunicable diseases,Malignant neoplasms,21.4
361,Belarus,2000,Noncommunicable diseases,Other neoplasms,0.0
362,Belarus,2000,Noncommunicable diseases,Diabetes mellitus,0.7
363,Belarus,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",0.1
364,Belarus,2000,Noncommunicable diseases,Mental and substance use disorders,3.2
365,Belarus,2000,Noncommunicable diseases,Neurological conditions,3.1
366,Belarus,2000,Noncommunicable diseases,Sense organ diseases,0.0
367,Belarus,2000,Noncommunicable diseases,Cardiovascular diseases,77.5
368,Belarus,2000,Noncommunicable diseases,Respiratory diseases,5.6
369,Belarus,2000,Noncommunicable diseases,Digestive diseases,3.3
370,Belarus,2000,Noncommunicable diseases,Genitourinary diseases,0.9
371,Belarus,2000,Noncommunicable diseases,Skin diseases,0.0
372,Belarus,2000,Noncommunicable diseases,Musculoskeletal diseases,0.0
373,Belarus,2000,Noncommunicable diseases,Congenital anomalies,0.5
374,Belarus,2000,Noncommunicable diseases,Oral conditions,0.0
375,Belgium,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",7.9
376,Belgium,2000,All Causes,Noncommunicable diseases,90.8
377,Belgium,2000,All Causes,Injuries,6.9
379,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Infectious and parasitic diseases,2.2
380,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Respiratory Infectious ,5.2
381,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Maternal conditions,0.0
382,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Neonatal conditions,0.2
383,Belgium,2000,"Communicable, maternal, perinatal and nutritional conditions",Nutritional deficiencies,0.3
385,Belgium,2000,Noncommunicable diseases,Malignant neoplasms,27.3
386,Belgium,2000,Noncommunicable diseases,Other neoplasms,0.7
387,Belgium,2000,Noncommunicable diseases,Diabetes mellitus,1.4
388,Belgium,2000,Noncommunicable diseases,"Endocrine, blood, immune disorders",1.0
389,Belgium,2000,Noncommunicable diseases,Mental and substance use disorders,0.6
390,Belgium,2000,Noncommunicable diseases,Neurological conditions,5.4
391,Belgium,2000,Noncommunicable diseases,Sense organ diseases,0.0
392,Belgium,2000,Noncommunicable diseases,Cardiovascular diseases,37.6
393,Belgium,2000,Noncommunicable diseases,Respiratory diseases,9.0
394,Belgium,2000,Noncommunicable diseases,Digestive diseases,4.7
395,Belgium,2000,Noncommunicable diseases,Genitourinary diseases,1.7
396,Belgium,2000,Noncommunicable diseases,Skin diseases,0.5
397,Belgium,2000,Noncommunicable diseases,Musculoskeletal diseases,0.5
398,Belgium,2000,Noncommunicable diseases,Congenital anomalies,0.3
399,Belgium,2000,Noncommunicable diseases,Oral conditions,0.0
400,Belize,2000,All Causes,"Communicable, maternal, perinatal and nutritional conditions",0.3
401,Belize,2000,All Causes,Noncommunicable diseases,0.8
